32679, 642, 4043, 532, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33634, 4310, 1808, 599, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33675, 4015, 1298, 1124, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33716, 3587, 1569, 1104, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33756, 2516, 2234, 19, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33797, 1741, 1512, 436, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33838, 1214, 1105, 491, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33878, 1310, 1238, 293, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33919, 1685, 838, 161, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
33960, 1365, 430, 426, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34001, 1722, 1992, 1521, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34036, 2267, 2213, 1866, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34071, 2440, 1261, 2467, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34106, 3411, 1363, 1875, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34141, 3659, 2454, 2008, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34176, 4043, 2389, 2103, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34211, 4446, 2296, 4464, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34246, 2939, 1679, 2149, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34281, 2045, 1351, 2551, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34316, 1664, 2631, 2859, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34351, 1507, 3137, 3124, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34387, 2213, 2944, 3477, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34427, 2791, 2804, 3925, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34468, 3485, 3720, 4265, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34508, 3190, 3729, 4215, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34549, 1949, 3086, 3446, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34590, 627, 2618, 3126, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34630, 254, 1906, 2558, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34671, 993, 2179, 2651, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34711, 1031, 2081, 2104, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34752, 2323, 2884, 2730, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34793, 2418, 2114, 2616, 104, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34833, 2291, 1909, 2345, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34874, 2164, 1757, 2052, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34915, 2243, 1522, 1837, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34956, 2544, 1559, 2154, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
34997, 3042, 1699, 2259, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35037, 3312, 1380, 2397, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35078, 3351, 1550, 2421, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35119, 3651, 1779, 2476, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35160, 3966, 1911, 2581, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35201, 3772, 1991, 1531, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35236, 5924, 3254, 636, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35271, 4793, 594, 4312, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35307, 1379, 1809, 3336, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35342, 1717, 2155, 3047, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35378, 1887, 2367, 3051, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35413, 1927, 1493, 3492, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35449, 1877, 1874, 3364, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35484, 1542, 1896, 3354, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35520, 1847, 1865, 3280, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35555, 1721, 2066, 3203, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35591, 1896, 1786, 3246, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35635, 1840, 1999, 3178, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35680, 1898, 2021, 3101, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35724, 2029, 1777, 3113, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35769, 2019, 1879, 3049, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35814, 2047, 1907, 3070, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
35858, 2044, 1931, 3080, 103, f55e87cc-7205-44fc-b9ea-df0366c574cb, , transisi, transisi_iktidal_ke_sujud, , 
