274368, 3736, 834, 979, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276285, 3550, 1943, 2575, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276324, 1842, 1918, 2550, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276364, 555, 1472, 2892, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276403, 252, 780, 2839, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276443, 1212, 2378, 1447, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276482, 2100, 1703, 2397, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276522, 2872, 987, 2914, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276561, 2422, 1160, 2568, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276600, 1982, 1582, 1594, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276640, 3913, 558, 2248, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276679, 5445, 2309, 841, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276719, 5334, 1431, 817, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276758, 4976, 1995, 1044, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276797, 5661, 1046, 1742, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276837, 5101, 1132, 873, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276876, 3499, -1061, 5374, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276916, 1955, 1899, 2279, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276951, 2341, 1317, 3787, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
276986, 2265, 1448, 2996, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
277021, 1853, 1435, 3567, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
277056, 1878, 1479, 3583, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
277091, 1759, 1602, 3533, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
277127, 1544, 1590, 3706, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
277162, 1405, 1551, 3664, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
277197, 1399, 1817, 3592, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
277232, 1306, 1786, 3435, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
277267, 1243, 1832, 3532, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
277303, 1498, 1759, 3469, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
277343, 1386, 1445, 3458, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
277384, 1386, 1413, 3561, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
277424, 1213, 1825, 3551, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
277465, 1341, 1705, 3452, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
277505, 1333, 1638, 3550, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
277546, 1536, 1603, 3521, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
277586, 1403, 1707, 3559, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
277627, 1358, 1736, 3479, 86, 5c6f70e6-9b7f-41ab-9b55-6315c5d79e56, , transisi, transisi_iktidal_ke_sujud, , 
