114608, 3415, 1474, -1739, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115852, 3157, 2633, 832, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115895, 3398, 2693, 592, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115938, 3072, 2220, 1083, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
115981, 3152, 2151, 1061, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116024, 3228, 2011, 1315, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116060, 3389, 1943, 1200, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116097, 3334, 2097, 1154, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116134, 2999, 2263, 1673, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116170, 3135, 1966, 1, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116207, 2883, 2542, 2533, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116244, 4552, 5921, 2732, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116281, 3386, 3417, 2001, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116317, 3729, 1491, 2651, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116354, 2520, 1717, 2917, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116391, 2485, 2174, 2323, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116428, 2583, 2594, 2288, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116465, 2810, 1708, 2496, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116502, 3065, 1738, 2284, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116539, 2777, 2288, 2386, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116577, 3089, 1537, 2348, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116614, 3235, 1269, 2307, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116651, 2995, 1806, 2335, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116689, 3061, 1768, 2392, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116726, 3198, 1251, 2335, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116763, 2938, 1595, 2414, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116801, 2908, 1587, 2140, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116845, 3087, 1454, 2398, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116889, 2874, 1818, 2402, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116933, 2744, 1620, 2482, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
116978, 3001, 1439, 2532, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
117022, 2895, 1575, 2532, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
117066, 2897, 1478, 2584, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
117111, 2873, 1304, 2686, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
117155, 2979, 1374, 2513, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
117199, 3081, 1337, 2618, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
117244, 2888, 1068, 2744, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
117277, 2933, 1197, 2690, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
117310, 2901, 1225, 2692, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
117343, 2861, 1414, 2661, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
117376, 2847, 1266, 2699, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
117409, 3001, 1234, 2740, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
117443, 2903, 1289, 2628, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
117476, 2842, 1269, 2675, 96, dda0532b-49fa-477f-b92c-a935d2e48f99, , transisi, transisi_iktidal_ke_sujud, , 
