145634, 3916, 79, -48, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146737, 1850, -672, 1274, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146769, 2796, 80, 1293, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146801, 4218, -551, 1023, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146833, 4910, 639, 325, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146873, 8589, -260, 235, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146913, 5004, 1997, -654, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146953, 6384, 1900, -527, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
146993, 5457, 405, 584, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147033, 5084, 210, 766, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147073, 4865, -441, 872, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147113, 4664, -723, 1103, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147153, 4210, -626, 1751, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147193, 4130, -437, 1760, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147234, 3948, -448, 1905, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147274, 4151, -375, 1943, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147315, 4002, -437, 2224, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147356, 3693, -354, 2521, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147396, 3849, -541, 2272, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147437, 3794, -212, 1908, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147478, 3484, -79, -500, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147518, 5094, 872, 1426, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147559, 3508, -159, 1570, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147600, 2890, 105, 3000, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147641, 2444, 733, 3178, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147676, 3121, -57, 2563, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147712, 3276, -218, 2790, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147747, 465, 350, 3193, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147783, 3243, 233, 2565, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147819, 3321, 146, 2549, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147854, 3314, -100, 2535, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147890, 3408, 492, 2378, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147926, 3329, 301, 2543, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147961, 3358, 443, 2384, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
147997, 3285, 499, 2527, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148033, 3370, 389, 2396, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148073, 3322, 372, 2456, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148113, 3300, 625, 2454, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148153, 3104, 779, 2708, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148193, 2978, 464, 2754, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148234, 3003, 660, 2807, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148274, 3046, 685, 2744, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148314, 2929, 696, 2817, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148354, 2929, 654, 2898, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148394, 2995, 730, 2715, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148435, 2863, 687, 2945, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148471, 2899, 613, 2963, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148508, 3024, 747, 2740, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148545, 2881, 850, 2866, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148582, 2926, 788, 2814, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148619, 2946, 829, 2821, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148656, 2958, 878, 2828, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148693, 2941, 835, 2809, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
148730, 2960, 850, 2799, 95, f6cd2cc5-feab-403d-ba28-46adf344fd7a, , transisi, transisi_iktidal_ke_sujud, , 
