55540, 4009, 1183, 223, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56790, 6027, 3069, 1663, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56829, 2752, -959, 1304, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56868, 2379, 238, 3133, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56907, 3281, 1814, 2321, 45, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56946, 3152, 180, 3324, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
56985, 2772, 1144, 2357, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57025, 1713, 680, 3387, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57064, 2108, 1134, 3792, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57104, 1890, 810, 3820, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57143, 1309, 697, 3233, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57183, 1789, 1791, 2281, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57222, 3119, 1909, 3304, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57262, 6419, 1853, 3327, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57301, 6778, 618, 4631, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57341, 3824, 149, 3978, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57375, 2973, 1655, 1529, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57410, 1670, 414, 2038, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57444, 1099, 965, 1247, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57479, 1504, 1798, 1312, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57514, 2337, 1584, 1443, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57548, 3846, 2186, 1671, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57583, 3364, 1111, 2380, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57617, 2199, 154, 2498, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57652, 3576, 1228, 1008, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57687, 2772, 753, 2785, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57727, 4707, 1126, 2447, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57767, 4519, 654, 2754, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57807, 4699, 736, 2747, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57847, 4971, 1960, 373, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57887, 5192, 917, 3830, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57927, 2663, 593, 2509, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
57967, 1793, 1900, 3602, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
58007, 730, 1689, 3574, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
58047, 1604, 1784, 3600, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
58088, 2445, 490, 3453, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
58128, 1483, 1156, 3546, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
58169, 1263, 1401, 3720, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
58209, 1748, 1360, 3705, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
58250, 1154, 1667, 3610, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
58290, 1530, 1553, 3502, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
58331, 1401, 1734, 3598, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
58371, 1418, 1537, 3659, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
58412, 1364, 1566, 3643, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
58452, 1441, 1653, 3546, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
58493, 1561, 1446, 3645, 47, 397d22ee-de10-4e90-bd81-4898e7125844, , transisi, transisi_iktidal_ke_sujud, , 
