279618, 3890, -1314, 991, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280356, 3455, 1500, 3337, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280399, 3449, 212, 3738, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280443, 4379, -1099, 4138, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280480, 4557, -243, 3850, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280518, 3429, 667, 3031, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280556, 2205, 294, 2134, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280593, 846, -308, 2009, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280631, -4383, -4234, 2197, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280669, 2826, -1046, 1446, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280706, 2409, 507, 905, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280744, 3530, 1162, 875, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280782, 4066, 678, 1115, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280820, 3942, 207, 1414, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280856, 4445, 726, 2150, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280893, 4791, 742, 1660, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280930, 5034, 1469, 1372, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
280966, 4670, 2068, 518, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
281003, 6113, 4058, -311, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
281040, 5913, -2704, 6389, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
281077, 2447, 1327, 2834, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
281113, 2967, 430, 2845, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
281150, 2881, 162, 3187, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
281187, 2858, 349, 3049, 94, c5295549-95c1-45a0-b35a-d7b6a1dd41f0, , transisi, transisi_iktidal_ke_sujud, , 
