56560, 3782, 1940, -347, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58511, 3154, 1760, 2175, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58545, 2850, 1845, 1937, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58578, 2819, 2237, 2603, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58611, 2280, 2569, 2336, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58645, 2618, 1927, 2351, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58689, 2481, 2463, 2418, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58733, 2688, 2119, 2393, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58777, 2481, 2296, 2340, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58821, 2800, 2289, 2258, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58866, 2506, 2252, 2292, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58910, 2769, 2264, 2143, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58954, 2805, 2244, 2101, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
58998, 2860, 2196, 2080, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
59042, 2890, 2267, 2014, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
59087, 2836, 2268, 1988, 85, 02c51583-688a-4f18-a1ff-85e887d881b2, , transisi, transisi_iktidal_ke_sujud, , 
