344272, 3222, -211, -690, 95, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345624, 3382, 551, 2391, 93, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345665, 3428, 187, 2298, 91, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345706, 3343, 453, 2355, 91, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345747, 3092, 595, 2834, 91, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345789, 3008, 473, 2813, 91, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345830, 3234, 757, 2604, 91, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345871, 3136, 468, 2637, 91, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345913, 3399, 810, 2745, 91, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345954, 2999, 509, 2783, 91, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
345995, 2937, 730, 2884, 91, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
346037, 2966, 734, 2828, 91, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
346076, 2930, 724, 2873, 91, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
346116, 2927, 685, 2853, 91, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
346156, 2926, 747, 2858, 91, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
346195, 2986, 700, 2797, 91, f617af5b-cf00-4f6b-ac9e-9f96712053cc, , transisi, transisi_iktidal_ke_sujud, , 
