79150, 3534, 2501, 514, 57, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79832, 1648, 1557, 33, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79872, 998, 1974, -1076, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79912, 739, 974, -884, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79953, 681, 1459, 185, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
79995, 1090, -15, 1594, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80037, 1190, 357, 1386, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80079, 1785, 1622, 226, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80121, 769, 3141, 1427, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80164, 3514, 3053, 2794, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80206, 3728, 4601, 3329, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80248, 3329, 1415, 1957, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80290, 3535, 2398, 1194, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80332, 3790, 2592, 1896, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80375, 3882, 1912, 1939, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80409, 3695, 2791, 1612, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80443, 4038, 3477, 1812, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80477, 3680, 2789, 855, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80511, 3345, 3294, 1930, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80545, 3030, 3042, 2313, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80579, 2784, 2991, 2170, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80613, 1683, 3371, 1847, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80647, 402, 2988, 2629, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80681, 551, 3155, 2884, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80715, 1041, 2772, 2543, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80749, 1414, 4277, 2392, 58, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80790, 1711, 2219, 2049, 61, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80832, 2361, 1374, 2272, 61, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80874, 2643, 1635, 2237, 61, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80916, 2718, 1427, 2677, 61, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
80958, 2633, 2406, 2225, 61, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81000, 2761, 922, 2125, 61, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81042, 1079, -171, 2078, 61, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81084, 3439, 180, 2033, 61, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81126, 4608, 1474, 971, 61, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81168, 5137, 1804, -6561, 61, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81204, 10018, 2136, 2597, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81240, 5814, 3424, 337, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81276, 3060, 785, 3223, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81312, 2951, 3899, 1524, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81348, 2523, 213, 2781, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81384, 3532, 2140, 1968, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81420, 3723, 2350, 1595, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81456, 3087, 1810, 2506, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81492, 2186, 2655, 2825, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81528, 2061, 2207, 2545, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81564, 1884, 2633, 2656, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81602, 2443, 2201, 2615, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81641, 1667, 2653, 2504, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81680, 2166, 2277, 2653, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81718, 2036, 2535, 2692, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81757, 1918, 2632, 2492, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81796, 2138, 2522, 2628, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81834, 2073, 2510, 2515, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81873, 2202, 2447, 2512, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81912, 2162, 2514, 2544, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81951, 2266, 2452, 2514, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
81997, 2276, 2405, 2407, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82043, 2324, 2434, 2417, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82089, 2181, 2600, 2401, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82136, 2262, 2593, 2333, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82182, 2274, 2570, 2362, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82228, 2291, 2543, 2344, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82275, 2423, 2434, 2325, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82321, 2516, 2318, 2238, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82367, 2371, 2518, 2272, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82414, 2407, 2563, 2220, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82446, 2437, 2580, 2183, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82478, 2444, 2570, 2138, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82510, 2396, 2598, 2055, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82542, 2489, 2645, 2052, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82574, 2435, 2729, 1917, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82607, 2491, 2741, 1873, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82639, 2534, 2713, 1820, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82671, 2541, 2747, 1773, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82703, 2554, 2756, 1739, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82735, 2541, 2785, 1733, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82768, 2561, 2774, 1690, 63, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82806, 2582, 2758, 1684, 64, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
82844, 2631, 2748, 1631, 64, d24badd2-1d36-4859-96a2-574c7d212a4b, , transisi, transisi_iktidal_ke_sujud, , 
