48256, 3897, 984, 427, 66, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49898, 3283, 2018, 1913, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49942, 3185, 1601, 1866, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
49987, 3022, 1818, 2155, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50031, 2994, 1916, 1945, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50076, 2833, 2381, 1917, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50121, 3145, 2155, 2243, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50158, 3131, 1770, 1978, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50195, 2699, 2397, 2059, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50232, 3139, 1902, 1993, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50269, 2980, 2108, 1997, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50307, 3084, 2038, 2103, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50344, 2960, 2033, 1996, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50381, 3100, 1954, 1876, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50418, 3013, 2143, 1901, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50455, 3095, 2120, 1944, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50493, 3074, 2019, 1828, 68, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50530, 3117, 2025, 1875, 69, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50567, 3134, 1977, 1784, 69, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50604, 3065, 2102, 1854, 69, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50641, 3164, 1889, 1838, 69, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50678, 3140, 1909, 1855, 69, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50715, 3173, 1943, 1839, 69, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50752, 3147, 2010, 1821, 69, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50789, 3173, 1991, 1762, 69, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50826, 3169, 2100, 1750, 69, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
50863, 3181, 2019, 1685, 69, 102e80ee-872c-45d4-adb5-0f21ad7321df, , transisi, transisi_iktidal_ke_sujud, , 
