53501, 3408, 1870, -2019, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54678, 1989, 844, -511, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54715, 3071, 1331, -125, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54753, 5087, 2432, 1324, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54790, 3442, 1372, -472, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54828, 1779, 1272, -1227, 76, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54871, 1943, 1036, 266, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54915, 1157, 2671, 480, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
54958, 1891, 1302, 159, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55002, 1705, 2059, -617, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55045, 3777, 2917, -798, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55089, 2801, 2571, -1598, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55132, 2745, 3354, -690, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55176, 3812, 3378, -330, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55219, 4942, 2812, -395, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55263, 4826, 4013, 553, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55295, 4503, 3531, 208, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55327, 4095, 3629, 894, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55359, 3889, 3086, 1334, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55391, 3531, 2921, 1634, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55423, 3559, 3102, 1648, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55455, 3551, 3063, 1495, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55487, 3726, 2640, 1304, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55519, 3959, 2858, 1280, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55551, 4123, 2087, 1284, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55583, 3363, 1788, 923, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55615, 3915, 2356, 3234, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55654, 5366, -4061, 1633, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55694, 1422, 1847, 2567, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55733, 2902, 1080, 2520, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55773, 2587, 2695, 2123, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55813, 3193, 1594, 2341, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55852, 2768, 1862, 2395, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55892, 2896, 1873, 2288, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55931, 3122, 1753, 2195, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
55971, 3052, 1715, 2239, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56011, 2886, 2064, 2191, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56048, 2910, 2196, 2080, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56085, 3199, 1972, 1921, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56122, 3034, 1574, 2327, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56159, 3355, 1790, 1456, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56196, 2828, 2539, 2244, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56233, 2781, 2371, 2240, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56270, 2373, 1770, 2560, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56307, 2987, 1836, 2463, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56344, 2956, 1692, 2521, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56381, 2757, 1746, 2593, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56419, 2763, 1648, 2703, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56457, 2429, 1956, 2729, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56495, 2790, 1711, 2595, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56533, 2669, 1665, 2664, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56571, 2498, 1749, 2789, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56609, 2760, 1654, 2660, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56647, 2745, 1621, 2536, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56685, 2569, 1710, 2759, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56723, 2745, 1544, 2716, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56761, 2690, 1600, 2763, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56800, 2701, 1520, 2724, 75, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56844, 2663, 1607, 2723, 77, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56888, 2659, 1617, 2729, 77, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56933, 2788, 1395, 2806, 77, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
56977, 2689, 1482, 2830, 77, 16d5729a-08af-4a17-b221-2099a9fe04bb, , transisi, transisi_iktidal_ke_sujud, , 
