190993, 3296, 1590, -1684, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192273, 3226, 2168, 592, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192313, 3281, 2289, 598, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192353, 3500, 2080, 604, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192394, 3700, 1847, 652, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192430, 3432, 2383, 730, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192467, 3233, 3914, 443, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192504, 3820, 4366, 672, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192541, 3868, 3718, 5588, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192578, 4278, -164, 2332, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192614, 2587, 1581, 2596, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192651, 2747, 2298, 2106, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192688, 2762, 2000, 2544, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192725, 2947, 1622, 2512, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192762, 3141, 1337, 2314, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192799, 3078, 1612, 2332, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192838, 3115, 1504, 2299, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192878, 2997, 1790, 2267, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192917, 3001, 1752, 2297, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192957, 3074, 1571, 1842, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
192996, 3186, 1648, 2402, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
193036, 3206, 1774, 1834, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
193075, 3022, 2029, 2352, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
193115, 2982, 1552, 2150, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
193154, 2757, 2074, 2322, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
193194, 2927, 1557, 2658, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
193234, 2771, 1478, 2497, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
193274, 2964, 1557, 2581, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
193314, 2858, 1643, 2718, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
193354, 2804, 1363, 2596, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
193394, 2672, 1670, 2734, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
193434, 2741, 1171, 2680, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
193474, 2683, 1556, 2709, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
193514, 2842, 1316, 2740, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
193554, 2809, 1290, 2797, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
193595, 2898, 1183, 2827, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
193630, 2787, 1347, 2797, 101, 78165e96-957f-4db6-90d0-954bf6ad82a2, , transisi, transisi_iktidal_ke_sujud, , 
