223210, 3616, 1765, 1155, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224148, 3133, 1474, 2205, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224179, 3212, 2391, 2224, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224211, 3469, 2366, 2285, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224243, 3473, 3540, 2843, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224274, 2852, 1676, 2902, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224306, 2025, 2435, 2424, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224338, 2722, 2502, 2900, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224370, 2755, 2623, 2912, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224406, 2916, 2894, 3132, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224443, 3013, 3516, 4614, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224480, 2690, 2778, 3682, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224517, 1891, 2577, 3017, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224554, 1168, 1982, 2961, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224591, 812, 1498, 2716, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224628, 1042, 1736, 2455, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224665, 4918, 7331, 5014, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224702, 860, 742, 2178, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224739, 1899, 2465, 1884, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224776, 2450, 2233, 1875, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224815, 2194, 1834, 1950, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224854, 2024, 2534, 1815, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224893, 2021, 1727, 2128, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224932, 1932, 1893, 1846, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
224972, 2145, 2080, 2101, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
225011, 2335, 1611, 2072, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
225050, 2451, 2100, 2308, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
225089, 2960, 2185, 2276, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
225128, 3422, 2186, 2379, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
225168, 3936, 2038, 2519, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
225206, 4149, 1507, 774, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
225244, 3954, 2056, 546, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
225282, 4721, 3511, 1881, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
225320, 3734, -3387, 3385, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
225358, 1969, 3810, 2667, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
225396, 1653, 1846, 3074, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
225434, 2246, 2011, 3037, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
225472, 1993, 1949, 3036, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
225510, 2088, 1941, 3066, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
225548, 1892, 2114, 3053, 84, 37aa2479-3c97-4a71-a506-4a8469ea850a, , transisi, transisi_iktidal_ke_sujud, , 
