173583, 3913, 1701, 563, 97, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174718, 2610, 787, 1834, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174759, 2498, 1073, 2230, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174800, 3980, 1039, 2965, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174841, 4830, 1424, 2606, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174882, 5252, 3450, 3941, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174923, 3094, 2320, 4335, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
174964, 2000, 1741, 3634, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175005, 1839, 2004, 3810, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175046, 912, 393, 2716, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175088, 1660, 1012, 2622, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175126, 2098, 760, 2856, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175164, 3582, 777, 2443, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175202, 4033, 880, 1717, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175240, 3572, 736, 1944, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175279, 3723, 1186, 2188, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175317, 3393, 934, 1719, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175355, 3627, 339, 582, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175393, 7513, 4814, -1264, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175431, 6094, 2612, 785, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175470, 6933, 474, 2014, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175506, 3406, -504, 767, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175543, 4298, 3557, 1613, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175580, 2362, 1211, 2081, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175617, 3447, 978, 2196, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175654, 2825, 2239, 2405, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175691, 3271, 1208, 2299, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175728, 2794, 1911, 2361, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175765, 2770, 2016, 2524, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175802, 2930, 1624, 2557, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175839, 2808, 1881, 2448, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175876, 2837, 1660, 2542, 98, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175921, 2891, 1704, 2404, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
175966, 2524, 2248, 2522, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176011, 3031, 1628, 2415, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176056, 2766, 1898, 2381, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176101, 2938, 1697, 2484, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176146, 3076, 1635, 2348, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176191, 2998, 1640, 2324, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176236, 2924, 1706, 2355, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176281, 2956, 1586, 2445, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176326, 2837, 1623, 2462, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176359, 2919, 1619, 2484, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176392, 2889, 1695, 2379, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176425, 3015, 1936, 2127, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176458, 3228, 1749, 2084, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176491, 3034, 1623, 2375, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176524, 2862, 1791, 2379, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176557, 3014, 1637, 2374, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176590, 2945, 1931, 2248, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176623, 2973, 1810, 2250, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176656, 3036, 1893, 2132, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176689, 3035, 1864, 2096, 100, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176732, 3116, 1870, 2015, 101, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
176775, 3100, 1925, 2036, 101, d358a2ef-0c07-48c6-8999-c1373889687d, , transisi, transisi_iktidal_ke_sujud, , 
