139313, 3121, 1697, -407, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140696, 2940, -220, 2056, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140736, 3417, 425, 1409, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140776, 5564, 813, 1333, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140816, 4080, 1457, 2618, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140852, 4573, 1754, 4250, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140888, 5176, 1901, 2259, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140924, 5341, 3269, 1695, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140960, 4144, 1280, 88, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
140996, 4607, 1480, 526, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141032, 4021, 184, 2031, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141068, 2414, 2469, 2242, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141104, 3472, 1603, 2938, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141140, 2444, 1826, 2488, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141176, 2728, 1800, 2665, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141213, 2552, 2103, 2646, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141253, 2498, 2031, 2808, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141293, 2384, 2112, 2532, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141334, 2274, 2233, 2780, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141374, 2452, 2005, 2545, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141415, 2316, 2239, 2677, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141455, 2368, 2092, 2445, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141495, 2438, 2135, 2641, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141536, 2349, 2262, 2581, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141576, 2492, 2258, 2515, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141617, 2507, 2188, 2434, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141654, 2633, 2107, 2440, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141691, 2607, 2098, 2391, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
141728, 2699, 2009, 2428, 85, a0d6459b-c42b-4c96-b028-9dffc2f27c03, , transisi, transisi_iktidal_ke_sujud, , 
