243719, 3712, 1001, -219, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244480, 3060, 1870, 460, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244516, 2701, 2045, -207, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244552, 2589, 1111, -678, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244588, 2606, 818, -588, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244624, 2240, 502, 9, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244660, 2595, 1014, 538, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244696, 4551, 1911, 2496, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244733, 3674, 1740, 513, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244773, 3115, 277, -114, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244813, 2836, 111, -75, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244853, 3375, 2091, 513, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244893, 3350, 3078, 1096, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244933, 3082, 1663, 265, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
244973, 3924, 1819, 1234, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245013, 4545, 2478, 1620, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245053, 3991, 2064, 721, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245093, 4025, 2833, 976, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245133, 3294, 2004, 1583, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245173, 3021, 3342, 1629, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245214, 3456, 2549, 1797, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245254, 3099, 2738, 1635, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245295, 3207, 2751, 2224, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245335, 3255, 2981, 1900, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245376, 2973, 4030, 555, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245416, 3084, 3544, 638, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245457, 3288, 3474, 731, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245497, 2554, 1292, 2702, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245538, 1986, 561, 2900, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245573, 2024, 1317, 1694, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245608, 2245, 1277, 1930, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245643, 2911, 1195, 1965, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245678, 3224, 1157, 1821, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245713, 3568, 918, 1918, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245749, 3688, 716, 1885, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245784, 3717, 1120, 1600, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245819, 3158, 960, 1666, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245854, 4251, 769, 1506, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245889, 4123, 939, 1721, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245925, 4196, 1173, 1874, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
245967, 4093, 1088, 1486, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246010, 4024, 917, 1879, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246052, 4144, 886, 1643, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246095, 8166, 2837, 178, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246137, 6131, -1543, 4809, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246180, 1797, 2055, 3441, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246222, 2798, 971, 3022, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246265, 2826, 1341, 2888, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246307, 3206, 883, 2933, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246350, 2703, 855, 2964, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246388, 2897, 881, 3012, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246427, 2784, 888, 2933, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246466, 2842, 706, 3058, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246505, 2744, 865, 2940, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246544, 2674, 1012, 3056, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246583, 2711, 1128, 3022, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246622, 2751, 1029, 3011, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246661, 2704, 1081, 2927, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246700, 2752, 1038, 3044, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246739, 2547, 1101, 2965, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246774, 2638, 969, 3033, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246809, 2644, 1229, 3016, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246844, 2633, 1111, 2919, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246879, 2554, 1153, 3119, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246914, 2609, 1249, 2987, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246950, 2657, 1252, 2956, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
246985, 2620, 1231, 2965, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
247020, 2660, 1186, 2929, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
247055, 2647, 1180, 2993, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
247090, 2653, 1155, 2938, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
247126, 2689, 1173, 2963, 94, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
247166, 2758, 1096, 2933, 93, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
247207, 2719, 1144, 2904, 93, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
247248, 2827, 1069, 2926, 93, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
247289, 2818, 1133, 2861, 93, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
247330, 2780, 1107, 2878, 93, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
247371, 2851, 1079, 2837, 93, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
247412, 2828, 1077, 2844, 93, d724aa62-e891-4430-a544-c7c4b30d3163, , transisi, transisi_iktidal_ke_sujud, , 
