92824, 4428, -1167, 526, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93699, 1518, 228, -325, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93738, 1607, 393, 44, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93776, 1841, 515, 693, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93815, 1733, 487, 763, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93854, 2291, -210, 982, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93892, 2402, -426, 1253, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93931, 3487, 277, 1232, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
93970, 3557, 578, 1185, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94009, 3791, -127, 561, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94047, 4944, 395, 703, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94086, 4483, 385, 398, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94124, 6690, 1016, -183, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94163, 5298, 128, -199, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94201, 5232, 1324, -659, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94240, 5099, 546, -34, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94278, 5192, 103, 141, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94317, 4624, -33, 363, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94355, 4329, -1780, 1712, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94394, 4080, -842, 2260, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94433, 3836, -804, 2902, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94471, 3887, -526, 3193, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94510, 4387, -288, 2728, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94549, 4448, 432, -379, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94588, 10440, 2875, 11843, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94627, 5915, -1153, 1304, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94665, 2120, 242, 3368, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94704, 2618, 20, 3340, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94743, 2678, 379, 3075, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94782, 3185, -758, 3042, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94821, 3162, 645, 2437, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94859, 3280, 303, 2762, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94898, 3348, 176, 2465, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94937, 3259, 252, 2662, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
94976, 3219, 428, 2412, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95015, 3331, 308, 2479, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95054, 3340, 442, 2640, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95093, 3161, 401, 2717, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95132, 3238, 606, 2611, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95171, 3027, 440, 2821, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95210, 2860, 466, 2826, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95248, 2776, 726, 3031, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95286, 2852, 414, 3125, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95324, 2775, 531, 3145, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95362, 2546, 494, 3029, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95400, 2648, 591, 3058, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95439, 2581, 560, 3129, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95477, 2708, 528, 2988, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95515, 2677, 730, 3110, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95553, 2743, 591, 3082, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95591, 2805, 604, 2994, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95630, 2823, 618, 2989, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95667, 2845, 612, 2989, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
95705, 2873, 604, 2936, 95, ca7268b9-d117-43ae-bc57-abaf635489cf, , transisi, transisi_iktidal_ke_sujud, , 
