141142, 3702, 1558, 689, 76, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142022, 3036, 1138, 2211, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142057, 2506, 1362, 1210, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142093, 3019, 1969, 1821, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142128, 2797, 2180, 1571, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142163, 3690, 3062, 1958, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142199, 4025, 3002, 2561, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142234, 3347, 3188, 1429, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142269, 3800, 3321, 1388, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142305, 3909, 3969, 1391, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142340, 3928, 3130, 2369, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142376, 3338, 2731, 1996, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142416, 3273, 2479, 2226, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142457, 1973, 1978, 2843, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142498, 1635, 3211, 3365, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142539, 2073, 3059, 2614, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142580, 2078, 1105, 2693, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142620, 3202, 1679, 2581, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142661, 3758, 1644, 1726, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142702, 3608, 2405, 2587, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142743, 3248, 1937, 3519, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142784, 2503, 1294, 3613, 79, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142819, 1945, 1458, 3324, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142854, 2118, 1703, 2433, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142889, 1917, 1255, 1996, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142924, 1647, 1055, 2090, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142959, 3076, 4090, 2797, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
142994, 1717, 1105, 3917, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143029, 1420, 538, 625, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143064, 3770, 1185, 1412, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143099, 3480, 1538, 2143, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143134, 4046, 3283, 4296, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143169, 4863, 3402, 3687, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143209, 7031, 3961, 2321, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143250, 4554, 3056, -69, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143290, 4125, 415, 1769, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143331, 2424, 4668, 882, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143372, 3053, 1810, 2179, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143412, 2530, 2397, 2400, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143453, 2148, 2682, 2672, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143493, 2389, 2408, 2546, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143534, 2055, 2473, 2199, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143575, 2336, 2591, 2586, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143615, 2396, 2401, 2563, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143656, 1970, 2723, 2273, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143697, 2250, 2656, 2332, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143737, 2341, 2523, 2331, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143778, 2329, 2489, 2111, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143819, 2325, 2628, 2222, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143859, 2494, 2451, 2114, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143900, 2396, 2687, 2044, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143941, 2468, 2633, 2050, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
143982, 2522, 2575, 2016, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144023, 2510, 2622, 1981, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144064, 2529, 2580, 2008, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144105, 2499, 2687, 2048, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144146, 2609, 2491, 1948, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144187, 2681, 2466, 1920, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144228, 2655, 2548, 1957, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144269, 2608, 2569, 1894, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144310, 2517, 2682, 1822, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144351, 2633, 2617, 1785, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144392, 2597, 2664, 1799, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144434, 2617, 2630, 1813, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144469, 2602, 2656, 1825, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144504, 2578, 2739, 1785, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144539, 2652, 2653, 1753, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144574, 2656, 2664, 1702, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144610, 2718, 2621, 1683, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144645, 2707, 2643, 1638, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144680, 2712, 2666, 1603, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144715, 2708, 2700, 1572, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144750, 2728, 2745, 1508, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144786, 2716, 2764, 1459, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144824, 2682, 2804, 1445, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144862, 2727, 2823, 1395, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144900, 2682, 2847, 1364, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
144938, 2722, 2830, 1351, 80, 50ddf14d-4dc9-4437-b0be-aafc03aceab4, , transisi, transisi_iktidal_ke_sujud, , 
