181569, 3894, 1199, -708, 102, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183428, 3582, 1581, 1832, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183466, 3267, 1908, 1859, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183503, 3376, 1660, 1628, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183541, 3283, 1905, 1874, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183579, 3168, 2082, 1830, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183617, 3331, 1836, 2118, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183655, 3188, 1849, 1896, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183693, 2974, 2060, 1946, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183732, 3187, 1950, 1974, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183770, 3155, 1803, 1961, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183808, 3060, 1959, 2104, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183846, 3127, 1881, 2011, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183885, 3078, 1597, 1981, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183923, 3125, 1958, 1935, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
183961, 3118, 1933, 1901, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
184000, 3065, 2095, 1908, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
184037, 3199, 1941, 1877, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
184075, 3103, 2021, 1810, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
184113, 3297, 1674, 1836, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
184151, 3265, 1973, 1693, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
184189, 3195, 1969, 1838, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
184227, 3244, 1799, 1877, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
184265, 3255, 1895, 1806, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
184303, 3430, 1784, 1403, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
184341, 3521, 1817, 1256, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
184379, 3236, 1710, 1731, 101, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
184419, 3379, 1701, 1629, 100, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
184459, 3386, 1698, 1514, 100, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
184499, 3370, 1903, 1478, 100, e86d2aca-6e5e-436a-86fc-674c825c7c03, , transisi, transisi_iktidal_ke_sujud, , 
