78555, 3697, 1799, -316, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80555, 2182, 2614, 2239, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80594, 2602, 2473, 2198, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80634, 2452, 2602, 2127, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80673, 2393, 2680, 2167, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80713, 2541, 2488, 1992, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80749, 2548, 2581, 2062, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80786, 2424, 2688, 1955, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80822, 2699, 2491, 2018, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80859, 2302, 2683, 1989, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80895, 2583, 2663, 1974, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80932, 2538, 2636, 1985, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
80968, 2603, 2556, 1921, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
81005, 2702, 2462, 1880, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
81041, 2746, 2481, 1930, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
81078, 2650, 2551, 1900, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
81115, 2790, 2473, 1881, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
81157, 2727, 2507, 1873, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
81199, 2775, 2475, 1783, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
81241, 2806, 2472, 1712, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
81283, 2791, 2560, 1652, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
81325, 2760, 2596, 1695, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
81367, 2813, 2564, 1613, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
81409, 2768, 2641, 1570, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
81451, 2811, 2644, 1567, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
81493, 2780, 2638, 1529, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
81535, 2794, 2649, 1516, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
81569, 2822, 2627, 1536, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
81604, 2842, 2597, 1518, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
81638, 2875, 2564, 1471, 93, 60a35b0d-5fb2-4252-9ac4-81e7a4eb7f3e, , transisi, transisi_iktidal_ke_sujud, , 
