160409, 3759, 1107, -56, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162032, 2561, 2784, 1350, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162068, 1831, 929, 2481, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162104, 1276, 378, 2281, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162139, 775, 1133, 1318, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162175, 1312, 1717, 1476, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162211, 2371, 802, 1815, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162247, 3203, 1309, 2130, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162283, 3857, 1098, 2254, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162319, 4164, 1377, 1948, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162358, 4597, 1063, 1863, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162398, 4622, 667, 1843, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162438, 4273, 607, 1362, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162478, 4208, 303, 1199, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162518, 3874, 517, 768, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162558, 4503, -202, 357, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162598, 4184, 575, 872, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162638, 12494, 4777, 546, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162678, 5713, -1171, 7270, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162718, 2442, -1146, 2480, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162759, 3177, 1886, 2692, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162801, 2871, 1123, 2568, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162843, 3408, 608, 2581, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162884, 2903, 869, 2679, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162926, 3010, 998, 2822, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
162968, 2908, 896, 2784, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163009, 2931, 1273, 2728, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163051, 3016, 829, 2908, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163093, 2698, 1218, 2853, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163135, 2640, 1174, 2888, 93, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163173, 2641, 1164, 3013, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163211, 2711, 984, 2952, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163249, 2589, 1295, 2970, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163287, 2570, 824, 2967, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163325, 2504, 1129, 3194, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163364, 2540, 1212, 3090, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163402, 2639, 1006, 3028, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163440, 2552, 1109, 3076, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163478, 2550, 1125, 3060, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163516, 2577, 1025, 3090, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163555, 2620, 1082, 3002, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163592, 2582, 1065, 3079, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163630, 2624, 940, 3089, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163668, 2579, 1046, 3093, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163705, 2615, 1004, 3039, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163743, 2660, 1092, 3037, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163781, 2591, 1155, 2987, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
163818, 2741, 1120, 2933, 97, 42e60084-97ad-41c8-b267-1da44ec6de03, , transisi, transisi_iktidal_ke_sujud, , 
