454035, 4096, 1071, 467, 75, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455749, 3624, 1925, 1228, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455790, 5480, 1946, 1660, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455831, 5619, 2715, 1517, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455872, 4840, 1648, 2119, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455913, 4514, 484, 1747, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455954, 4320, 451, 1250, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
455995, 4528, -42, 1657, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456036, 5132, -885, 1786, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456077, 4374, -2874, 4477, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456119, 2916, -351, 7174, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456158, 2043, 524, 3353, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456198, 2055, 260, 2974, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456238, 2175, 1579, 3350, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456278, 1313, 810, 2553, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456318, 3564, 274, 2632, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456358, 3836, 396, 2798, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456398, 2890, -121, 2463, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456438, 3626, 533, 2409, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456478, 4039, 1043, 1243, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456518, 4227, 920, 1148, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456553, 4200, 1428, -150, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456588, 5346, 2725, -5785, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456624, 6731, 3096, -380, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456659, 5926, 462, 2461, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456694, 2104, 407, 1676, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456730, 4265, 1701, 1934, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456765, 3075, 1791, 2180, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456800, 3950, 396, 1663, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456836, 3039, 2254, 2147, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456871, 3317, 1359, 2322, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456907, 3146, 1621, 2172, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456951, 2872, 1786, 2199, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
456995, 3132, 1494, 2622, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457039, 2985, 1807, 2208, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457084, 2914, 1652, 2541, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457128, 3061, 1633, 2175, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457172, 2819, 1822, 2443, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457217, 3022, 1660, 2319, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457261, 2930, 1662, 2430, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457305, 3022, 1589, 2312, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457350, 3049, 1486, 2437, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457383, 3124, 1467, 2197, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457417, 2955, 1686, 2356, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457451, 3113, 1506, 2349, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457485, 3087, 1433, 2253, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457519, 3117, 1601, 2298, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457553, 3108, 1562, 2277, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457587, 3089, 1655, 2314, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457621, 3215, 1507, 2239, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457655, 3239, 1417, 2087, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457689, 3077, 1659, 2118, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457723, 3248, 1565, 2103, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457759, 3375, 1230, 1931, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457796, 3503, 1614, 2148, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457832, 3342, 1390, 1986, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457869, 3273, 1468, 1922, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457905, 3361, 1463, 1956, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457942, 3327, 1398, 1896, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
457978, 3420, 1488, 1926, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
458015, 3452, 1577, 2051, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
458051, 3526, 1671, 2126, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
458088, 3261, 1308, 1682, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
458131, 3191, 1219, 1574, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
458175, 3270, 1626, 1858, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
458219, 3246, 1434, 1834, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
458263, 3416, 1757, 2051, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
458307, 3251, 1854, 1983, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
458350, 3245, 1709, 1913, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
458394, 3208, 1766, 1955, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
458438, 3284, 1727, 1868, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
458482, 3257, 1687, 1906, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
458526, 3254, 1734, 1897, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
458563, 3274, 1798, 1931, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
458601, 3232, 1755, 1876, 76, a07b0b63-6898-4749-ae01-5124c11d3af4, , transisi, transisi_iktidal_ke_sujud, , 
