243342, 4023, 846, -317, 71, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246280, 3555, 1012, 1955, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246318, 3555, 1197, 2000, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246357, 3541, 1054, 1840, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246396, 3456, 1201, 1977, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246435, 3317, 1526, 2045, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246475, 3469, 1041, 2123, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246515, 3391, 1218, 2016, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246555, 3293, 1430, 2094, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246596, 3346, 1220, 2196, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246636, 3205, 1405, 1994, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246676, 3238, 1382, 2155, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246717, 3251, 1488, 2070, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246757, 3252, 1293, 2265, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246797, 3253, 1366, 2143, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246838, 3204, 1449, 2265, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246876, 3278, 1318, 2234, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246915, 3193, 1556, 2155, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246954, 3282, 1360, 2122, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
246993, 3198, 1497, 2220, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247032, 3272, 1374, 2175, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247070, 3241, 1461, 2137, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247109, 3289, 1437, 2138, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247148, 3297, 1375, 2123, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247187, 3256, 1468, 2178, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247226, 3228, 1431, 2167, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247265, 3231, 1381, 2233, 72, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247302, 3236, 1438, 2154, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247339, 3196, 1474, 2221, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247376, 3220, 1387, 2148, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247413, 3265, 1401, 2155, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247451, 3229, 1405, 2157, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247488, 3259, 1352, 2142, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247525, 3213, 1443, 2169, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247562, 3239, 1371, 2172, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247599, 3245, 1387, 2227, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247637, 3281, 1331, 2175, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247673, 3275, 1350, 2178, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247710, 3201, 1609, 2046, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247746, 3262, 1465, 2105, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247783, 3248, 1409, 2142, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247819, 3273, 1491, 2113, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247856, 3271, 1392, 2106, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247892, 3307, 1418, 2128, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247929, 3323, 1412, 2065, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
247965, 3322, 1412, 2060, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248002, 3350, 1375, 2033, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248039, 3323, 1460, 2046, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248078, 3327, 1390, 2038, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248117, 3341, 1412, 2028, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248156, 3341, 1426, 2009, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248195, 3411, 1332, 2001, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248235, 3378, 1327, 1951, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248274, 3420, 1337, 1939, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248313, 3421, 1320, 1933, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248352, 3468, 1364, 1886, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248391, 3464, 1253, 1883, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248431, 3485, 1326, 1844, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248476, 3508, 1300, 1807, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248521, 3492, 1293, 1810, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248566, 3511, 1326, 1825, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248611, 3518, 1255, 1810, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248656, 3506, 1314, 1752, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248701, 3557, 1241, 1731, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
248746, 3552, 1304, 1716, 73, 0b7a3c2f-0f9e-43b6-a386-091234fc5c0c, , transisi, transisi_iktidal_ke_sujud, , 
