525367, 3867, 1218, 988, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527180, 4004, 1672, -2112, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527221, 5270, 1091, -4291, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527262, 5590, 437, 3993, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527304, 7085, -508, 2060, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527340, 2246, 2714, 1489, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527377, 3783, 585, 1135, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527413, 3804, 1457, 2281, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527450, 3923, 1310, 1669, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527487, 3371, 1663, 1965, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527523, 3329, 1291, 1966, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527560, 3245, 1405, 2408, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527597, 3104, 1239, 1834, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527633, 3078, 1551, 2376, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527670, 3332, 1298, 2286, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527707, 3036, 1673, 2297, 82, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527745, 3029, 1661, 2475, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527784, 3108, 1488, 2395, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527822, 3127, 1454, 2210, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527861, 2970, 1731, 2336, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527899, 3173, 1416, 2312, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527938, 3081, 1592, 2301, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
527976, 3131, 1660, 2147, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
528015, 3146, 1636, 2232, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
528053, 3133, 1566, 2172, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
528092, 3158, 1636, 2123, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
528133, 3200, 1637, 2218, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
528174, 3251, 1568, 2111, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
528215, 3227, 1601, 2118, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
528256, 3246, 1635, 2070, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
528297, 3369, 1549, 2092, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
528338, 3144, 1591, 1921, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
528379, 3317, 1392, 1934, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
528420, 3331, 1240, 1920, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
528461, 3403, 1463, 1880, 83, f73227ca-99fa-4e44-9f37-bdae048d7b96, , transisi, transisi_iktidal_ke_sujud, , 
