107286, 3876, 642, 6, 101, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109068, 6728, -113, 1495, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109104, 3045, 2285, 2716, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109140, 3641, 2029, 1008, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109176, 4263, 1367, 1260, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109212, 3523, 1897, 1150, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109248, 3570, 1735, 1624, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109284, 3147, 2133, 1642, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109320, 3328, 1910, 1904, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109356, 3092, 2422, 1886, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109392, 2966, 2493, 1994, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109429, 3040, 2108, 1832, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109467, 2386, 2846, 1575, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109505, 3182, 2120, 1954, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109544, 2599, 2717, 1717, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109582, 2896, 2158, 1714, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109620, 2659, 2700, 1665, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109659, 2989, 2210, 1776, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109697, 2833, 2532, 1656, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109736, 2840, 2564, 1629, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109774, 2860, 2520, 1755, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109812, 2922, 2442, 1669, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109851, 2944, 2380, 1655, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109889, 3015, 2393, 1531, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109928, 3036, 2298, 1533, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
109967, 3014, 2483, 1399, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110007, 3159, 2332, 1391, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110047, 3153, 2380, 1243, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110086, 3112, 2321, 1239, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110126, 3199, 2235, 1274, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110166, 3245, 2104, 1391, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110205, 3180, 2451, 1100, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110245, 3178, 2139, 838, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110285, 3397, 2205, 942, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110324, 3178, 2454, 830, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110364, 3277, 2428, 765, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110404, 3458, 2323, 826, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110444, 3342, 2318, 811, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110482, 3337, 2261, 803, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110521, 3533, 2077, 918, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110559, 3400, 2326, 868, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110598, 3292, 2256, 750, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110637, 3334, 2273, 830, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110675, 3395, 2353, 734, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
110714, 3217, 2562, 629, 98, 125b0c6c-4196-4ea8-b389-f22261f323ae, , transisi, transisi_iktidal_ke_sujud, , 
