61278, 3860, 1332, 437, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62860, 4838, 975, 738, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62900, 1757, 1815, 2514, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62941, 3300, 673, 2971, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
62981, 2440, 2521, 2372, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63022, 2909, 1420, 2616, 58, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63064, 2577, 2099, 2694, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63107, 2333, 1974, 2614, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63150, 2441, 2171, 2679, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63193, 2611, 1885, 2766, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63236, 2501, 2105, 2502, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63279, 2373, 2288, 2543, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63322, 2591, 2020, 2601, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63365, 2500, 2155, 2535, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63408, 2659, 1943, 2460, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63451, 2594, 2145, 2454, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63484, 2664, 2059, 2416, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63517, 2595, 2244, 2367, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63550, 2717, 1898, 2422, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63583, 2734, 2091, 2316, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63616, 2776, 1994, 2294, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63650, 2766, 2022, 2317, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63683, 2864, 2050, 2250, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63716, 2879, 1937, 2245, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63749, 2914, 2008, 2201, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63782, 2903, 1951, 2199, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63816, 2972, 1950, 2160, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63858, 2996, 1958, 2097, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63901, 3063, 1856, 2095, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63943, 3080, 1817, 2090, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
63986, 3141, 1703, 2075, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
64029, 3122, 1790, 2050, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
64071, 3151, 1745, 2049, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
64114, 3137, 1797, 1994, 59, a1a315fc-3fdf-4961-abbf-b065e0ccc5c9, , transisi, transisi_iktidal_ke_sujud, , 
