353404, 3945, 555, 7, 76, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
354996, 3969, 1111, 399, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355033, 3975, 1165, 417, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355070, 3960, 1127, 419, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355107, 3953, 1109, 405, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355144, 3949, 1085, 390, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355181, 4002, 1094, 382, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355218, 4007, 1111, 410, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355255, 4028, 1060, 418, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355292, 4013, 997, 446, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355337, 3982, 998, 491, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355382, 3962, 1065, 450, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355427, 3917, 1093, 417, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355472, 3960, 1138, 446, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355517, 3969, 1162, 419, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355562, 3945, 1179, 420, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355607, 3967, 1137, 403, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355652, 3977, 1131, 389, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355697, 3976, 1056, 397, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355742, 4009, 1007, 444, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355787, 3996, 994, 439, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355819, 3990, 980, 449, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355851, 3968, 1022, 431, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355883, 3989, 1080, 424, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355916, 3968, 1096, 417, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355948, 3975, 1041, 440, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
355980, 3955, 1047, 455, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
356013, 4014, 1052, 438, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
356045, 3986, 1157, 412, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
356077, 3979, 1124, 441, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
356110, 3977, 1109, 428, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
356150, 3953, 1112, 457, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
356191, 3963, 1089, 472, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
356232, 3960, 1129, 465, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
356273, 3949, 1209, 462, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
356314, 3907, 1331, 457, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
356355, 3877, 1685, 608, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
356396, 3976, 1174, 818, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
356437, 3970, 1186, 780, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
356478, 3922, 1278, 589, 75, ff34e104-4294-4f3d-ba51-2f9c0b99610b, , iktidal, iktidal_tanpa_bersedekap, , 
