404985, 4143, 792, -138, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405734, 4088, 644, -178, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405767, 4067, 690, -189, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405800, 4062, 689, -201, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405833, 4082, 670, -176, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405866, 4072, 632, -170, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405899, 4056, 686, -158, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405932, 4080, 717, -153, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405965, 4079, 685, -177, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
405998, 4053, 681, -174, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406031, 4056, 678, -171, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406069, 4073, 684, -167, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406108, 4073, 686, -163, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406147, 4075, 674, -173, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406185, 4058, 674, -162, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406224, 4045, 645, -177, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406263, 4056, 657, -159, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406301, 4080, 656, -179, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406340, 4081, 657, -175, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406379, 4068, 660, -164, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406418, 4059, 636, -158, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406458, 4091, 702, -167, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406499, 4097, 714, -177, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406539, 4055, 664, -186, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406580, 4080, 645, -148, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406621, 4086, 640, -148, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406661, 4076, 676, -166, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406702, 4071, 650, -156, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406742, 4078, 668, -181, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406783, 4068, 659, -184, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406824, 4092, 683, -180, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406861, 4091, 692, -147, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406898, 4075, 691, -150, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406935, 4065, 676, -149, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
406972, 4047, 666, -179, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407009, 4090, 652, -178, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407046, 4081, 649, -191, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407083, 4049, 651, -139, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407120, 4078, 660, -163, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407157, 4063, 649, -165, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407194, 4070, 695, -158, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407232, 4085, 702, -189, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407272, 4077, 679, -200, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407312, 4072, 654, -164, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407352, 4079, 668, -150, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407393, 4063, 670, -170, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407433, 4071, 670, -177, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407473, 4064, 670, -197, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407514, 4065, 671, -184, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407554, 4082, 688, -158, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407594, 4073, 675, -170, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407635, 4084, 681, -176, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407674, 4081, 673, -171, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407714, 4055, 666, -173, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407753, 4077, 682, -190, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407793, 4090, 691, -167, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407833, 4070, 701, -163, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407872, 4068, 657, -186, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407912, 4073, 693, -169, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407951, 4071, 715, -178, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
407991, 4084, 697, -177, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408031, 4073, 675, -162, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408070, 4080, 667, -151, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408110, 4075, 716, -163, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408150, 4074, 720, -180, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408189, 4043, 694, -178, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408229, 4083, 701, -171, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408269, 4056, 712, -175, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408309, 4058, 696, -177, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408348, 4089, 692, -174, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408388, 4088, 698, -175, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408428, 4070, 693, -162, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408468, 4072, 700, -152, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408503, 4064, 692, -161, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408538, 4087, 740, -141, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408573, 4051, 704, -132, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408608, 4065, 673, -156, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408643, 4058, 693, -153, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408678, 4078, 702, -148, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408713, 4087, 704, -165, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408748, 4052, 708, -146, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408783, 4076, 678, -125, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408818, 4072, 693, -119, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408855, 4071, 693, -115, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408893, 4078, 705, -127, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408930, 4073, 721, -170, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
408968, 4043, 639, -150, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
409005, 4072, 674, -163, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
409043, 4065, 686, -156, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
409080, 4064, 667, -138, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
409118, 4069, 666, -126, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
409155, 4088, 691, -142, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
409193, 4026, 636, -184, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
409231, 4093, 735, -144, 81, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
409269, 4063, 645, -159, 80, d935f7b9-0e8f-4ece-8f99-c148a8ec7be1, , iktidal, iktidal_tanpa_bersedekap, , 
