154394, 3982, 1655, -334, 107, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155960, 3942, 1184, -394, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
155999, 3929, 1185, -365, 109, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
156038, 3955, 1170, -393, 112, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
156077, 3936, 1145, -382, 112, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
156116, 3921, 1116, -389, 112, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
156156, 3973, 1160, -383, 112, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
156195, 3940, 1167, -382, 112, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
156234, 3926, 1179, -402, 112, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
156273, 3937, 1179, -380, 112, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
156313, 3962, 1210, -360, 112, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
156352, 3966, 1214, -331, 112, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
156391, 3984, 1202, -294, 112, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
156431, 3975, 1234, -296, 112, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
156467, 3963, 1230, -330, 112, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
156504, 3956, 1261, -335, 112, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
156540, 3946, 1242, -245, 112, 5f311c0f-e895-45d4-997d-71a87b4cae2e, , iktidal, iktidal_tanpa_bersedekap, , 
