45439, 4414, -562, -177, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46469, 3766, 1219, 974, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46506, 3833, 1124, 989, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46542, 3902, 1662, 1116, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46579, 3873, 1173, 1602, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46616, 3800, 1504, 1320, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46653, 3630, 1679, 757, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46692, 3722, 1467, 717, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46731, 3623, 1698, 863, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46771, 3851, 1503, 863, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46810, 3776, 1272, 1053, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46850, 3824, 1482, 895, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46889, 3738, 1075, 1210, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46928, 3755, 960, 1125, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
46968, 3852, 971, 1305, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
47007, 3776, 1326, 1027, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
47047, 3772, 1732, 826, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
47084, 3802, 1150, 918, 64, 30287d2b-356e-4a0f-b29e-64b6b616da8f, , iktidal, iktidal_tanpa_bersedekap, , 
