188690, 3567, 1448, -1508, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190357, 3363, 1716, -1635, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190398, 3381, 1699, -1607, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190433, 3350, 1685, -1624, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190469, 3346, 1713, -1632, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190505, 3372, 1723, -1620, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190541, 3331, 1733, -1649, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190577, 3354, 1725, -1617, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190612, 3392, 1704, -1621, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190648, 3374, 1665, -1611, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190684, 3387, 1681, -1621, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190720, 3377, 1689, -1649, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190756, 3363, 1674, -1627, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190792, 3350, 1630, -1633, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190832, 3356, 1628, -1659, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190872, 3366, 1594, -1673, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190912, 3332, 1644, -1652, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
190953, 3300, 1610, -1637, 101, 635fc2ac-f8d2-4944-973e-99f54b2cf3e4, , iktidal, iktidal_tanpa_bersedekap, , 
