302663, 3756, 1053, 109, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303226, 4001, 709, -674, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303263, 4014, 885, -707, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303300, 4009, 875, -719, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303336, 3966, 761, -768, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303373, 3962, 760, -716, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303410, 3978, 718, -733, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303446, 3977, 732, -794, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303483, 3984, 841, -752, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303520, 3933, 805, -738, 96, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303566, 3962, 809, -838, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303612, 3982, 815, -935, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303658, 3981, 816, -977, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303704, 3946, 748, -932, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303751, 3979, 744, -879, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303797, 3994, 711, -824, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303843, 3963, 794, -792, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303889, 3962, 812, -816, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303935, 3954, 769, -851, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
303982, 3942, 782, -818, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304014, 3952, 824, -782, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304046, 3961, 777, -782, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304078, 3995, 769, -813, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304110, 3939, 772, -834, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304142, 3914, 785, -883, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304175, 3980, 779, -793, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304207, 4043, 827, -718, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304239, 4015, 805, -752, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304271, 3995, 789, -839, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304303, 4040, 771, -841, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304336, 4023, 778, -749, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304375, 3977, 798, -733, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304414, 3994, 746, -737, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304453, 3959, 779, -781, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304492, 3981, 755, -772, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304531, 3965, 738, -786, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304570, 3979, 745, -715, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304609, 3965, 760, -679, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304648, 3993, 731, -771, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304687, 3999, 731, -782, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304726, 4028, 772, -761, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304765, 4046, 767, -734, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304804, 4005, 737, -713, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304843, 4011, 724, -700, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304883, 4028, 747, -684, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304922, 3984, 742, -740, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
304961, 3993, 705, -758, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305001, 4006, 721, -711, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305040, 4002, 732, -717, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305079, 3997, 715, -729, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305119, 4000, 712, -743, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305156, 4002, 724, -736, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305194, 4019, 712, -750, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305231, 3979, 693, -782, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305269, 3995, 735, -787, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305307, 4005, 738, -759, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305344, 3998, 724, -707, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305382, 4001, 697, -755, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305420, 3971, 695, -772, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305457, 3981, 743, -768, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305495, 4004, 719, -788, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305533, 3989, 743, -760, 94, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305570, 4044, 509, -463, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305607, 4161, 681, -177, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305644, 3898, 762, -1509, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305681, 3894, 564, -1080, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305718, 4102, 336, -669, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305755, 3979, 784, -994, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305792, 4001, 523, -757, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305829, 4169, 48, -181, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305866, 4253, 134, -501, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305904, 4124, -221, -620, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305945, 3960, 107, -792, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
305986, 3986, 599, -774, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
306028, 4079, 534, -343, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
306069, 4296, -3, 231, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
306111, 4190, 73, -516, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
306152, 4030, 1146, -303, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
306193, 4149, 1147, -307, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
306235, 4120, 975, -227, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
306276, 4333, 1286, -376, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
306318, 4189, 1191, -379, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
306356, 4180, 854, -305, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
306394, 4092, 996, -440, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
306432, 3905, 821, -516, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
306470, 3748, 786, -686, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
306508, 3696, 857, -717, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
306546, 3826, 810, -514, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
306584, 3831, 618, -693, 93, 90476cef-06cf-4e0b-8b67-99408f92b2ec, , iktidal, iktidal_tanpa_bersedekap, , 
