239758, 3848, 464, -762, 98, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240556, 3967, 781, -857, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240593, 3958, 781, -833, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240631, 3971, 774, -794, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240668, 3980, 785, -815, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240705, 3974, 783, -816, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240743, 3971, 771, -799, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240781, 3984, 773, -817, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240819, 3972, 752, -822, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240857, 3989, 752, -808, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240896, 3971, 755, -814, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240934, 3992, 780, -780, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
240972, 3935, 775, -784, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241011, 3946, 741, -821, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241049, 3943, 720, -810, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241087, 3953, 762, -794, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241126, 3978, 779, -762, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241166, 4003, 772, -755, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241207, 3980, 753, -810, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241248, 3997, 747, -805, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241289, 3994, 750, -790, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241330, 3989, 749, -777, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241370, 4001, 742, -776, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241411, 4003, 735, -801, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241452, 4020, 754, -778, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241493, 3996, 727, -747, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241534, 3975, 727, -840, 97, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241570, 3982, 735, -808, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241606, 4008, 772, -724, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241643, 3968, 764, -713, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241679, 3945, 727, -744, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241716, 3982, 710, -782, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241752, 3983, 737, -795, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241789, 3973, 768, -820, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241825, 4007, 749, -792, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241862, 4006, 740, -778, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241898, 3964, 750, -784, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241935, 3986, 746, -758, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
241980, 3969, 767, -755, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242025, 3982, 752, -758, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242070, 3980, 752, -812, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242115, 4005, 754, -891, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242160, 3986, 743, -802, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242205, 3966, 741, -830, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242250, 3992, 738, -756, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242295, 4021, 766, -702, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242340, 4053, 608, -602, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242385, 4014, 672, -682, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242416, 4005, 555, -733, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242448, 4108, 384, -518, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242480, 3976, 907, -722, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242512, 4178, 505, -851, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242544, 3874, 841, -1059, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242575, 3833, 239, -835, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242607, 3898, 357, -643, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242639, 4043, 172, -205, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242671, 4128, 300, -413, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242703, 3927, 226, -595, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242735, 4252, 405, -372, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242775, 4084, 205, -1047, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242815, 4419, -552, 273, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242855, 4129, 469, -321, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242895, 4184, 739, -278, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242935, 4177, 994, -339, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
242975, 4176, 1193, -398, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243015, 4123, 1057, -321, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243055, 4010, 1017, -482, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243095, 3852, 853, -622, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243135, 3813, 905, -711, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243175, 3708, 951, -750, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243216, 3952, 1241, -661, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243256, 3950, 1157, -632, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243297, 3683, 788, -707, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243337, 4560, 886, -204, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243378, 4572, -636, 1534, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243418, 3997, 128, 246, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243459, 3824, 777, -101, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243499, 3853, 1142, -98, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243540, 3775, 1595, -259, 96, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243575, 3935, 1476, -37, 94, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243611, 3817, 1284, -58, 94, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243647, 3995, 1047, -118, 94, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
243683, 4033, 924, -210, 94, 212fbd09-014f-4a75-a07a-6bdcda2ae6d7, , iktidal, iktidal_tanpa_bersedekap, , 
