168013, 3422, 1517, 734, 75, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169228, 3538, 1708, 1227, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169265, 3509, 1708, 1052, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169302, 3623, 1772, 1292, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169339, 3552, 1804, 1174, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169376, 3543, 1865, 1263, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169413, 3557, 1876, 1277, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169450, 3518, 1858, 1229, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169487, 3498, 1891, 1166, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169524, 3508, 1800, 1209, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169561, 3557, 1766, 1226, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169602, 3548, 1684, 1179, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169644, 3592, 1683, 1204, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169685, 3583, 1730, 1214, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169727, 3531, 1822, 1223, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169768, 3566, 1824, 1214, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169810, 3519, 1777, 1220, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169851, 3568, 1779, 1217, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169893, 3615, 1828, 1238, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169934, 3606, 1828, 1216, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
169976, 3629, 1836, 1249, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
170013, 3700, 2076, 1104, 74, 55e77b2b-76f9-4bfd-8f6c-1ad63fd83117, , iktidal, iktidal_tanpa_bersedekap, , 
