22633, 4106, -316, -248, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23495, 4114, -314, -280, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23536, 4104, -299, -276, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23577, 4117, -305, -283, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23618, 4084, -286, -280, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23659, 4101, -271, -287, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23700, 4126, -319, -266, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23741, 4123, -332, -307, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23784, 4109, -290, -268, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23827, 4093, -284, -307, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23870, 4122, -313, -274, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23913, 4118, -280, -296, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23956, 4153, -280, -295, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
23999, 4125, -307, -327, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
24042, 4094, -297, -243, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
24085, 4124, -226, -268, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
24128, 4078, -264, -290, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
24171, 4114, -289, -311, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
24203, 4093, -296, -336, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
24236, 4105, -284, -273, , a3b9a62c-f406-46fe-a856-5d2c1c4dbd7c, , iktidal, iktidal_tanpa_bersedekap, , 
