62379, 3875, 1928, 406, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63373, 3440, 2110, 741, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63410, 3463, 2120, 920, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63446, 3542, 2138, 765, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63483, 3464, 2048, 803, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63520, 3493, 2061, 776, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63557, 3413, 1969, 810, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63594, 3474, 2085, 925, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63631, 3465, 2151, 916, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63671, 3441, 2097, 934, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63712, 3453, 1917, 951, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63753, 3551, 1970, 1008, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63794, 3465, 2120, 977, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63835, 3387, 2074, 938, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63876, 3382, 2003, 997, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63917, 3477, 1975, 869, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63958, 3489, 1905, 817, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
63999, 3453, 1758, 743, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64040, 3466, 1688, 775, 50, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64083, 3770, 1959, 842, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64126, 3521, 2281, 258, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64169, 3662, 1643, 692, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64213, 3589, 2581, 135, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64256, 3608, 2419, 298, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64299, 3549, 1926, 409, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64343, 3625, 1930, 522, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64386, 3665, 1846, 515, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64429, 3564, 1987, 466, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64473, 3505, 2149, 370, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64505, 3495, 2183, 262, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64538, 3400, 2267, 345, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64570, 3354, 2215, 202, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64603, 3482, 2258, 159, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64636, 3565, 2301, 160, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64668, 3484, 2239, 236, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64701, 3399, 2016, 213, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
64734, 3406, 2044, 185, 49, e9cf6237-7523-48a1-87d0-86d2ab14007f, , iktidal, iktidal_tanpa_bersedekap, , 
