199258, 4205, 833, 510, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201342, 4056, 769, 387, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201378, 4056, 719, 384, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201415, 4065, 708, 392, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201452, 4039, 743, 384, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201489, 4061, 784, 395, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201526, 4076, 784, 371, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201563, 4061, 771, 414, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201600, 4031, 742, 405, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201637, 4076, 746, 393, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201674, 4053, 753, 384, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201711, 4066, 776, 414, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201751, 4053, 762, 417, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201792, 4057, 778, 404, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201833, 4069, 837, 385, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201874, 4066, 863, 423, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201915, 4021, 880, 379, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201955, 4047, 851, 474, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
201996, 4062, 828, 509, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
202037, 4066, 798, 490, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
202078, 4062, 772, 531, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
202119, 4123, 928, 490, 82, 70d0faee-759d-48c7-a13b-9597e79f3c46, , iktidal, iktidal_tanpa_bersedekap, , 
