53778, 4163, 303, -298, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54336, 4131, 54, -366, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54379, 4116, 95, -393, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54421, 4114, 86, -403, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54463, 4113, 70, -397, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54506, 4097, 159, -403, 46, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54547, 4072, 184, -424, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54588, 4109, 151, -392, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54629, 4110, 194, -422, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54670, 4140, 63, -297, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54712, 4054, 328, -500, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54753, 4123, 695, -542, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54794, 4138, 497, -347, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54835, 4169, 563, -300, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54876, 4156, 598, -270, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54918, 4290, 482, 120, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54954, 4124, 655, 13, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
54990, 4343, 255, 14, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
55027, 4269, -156, -91, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
55063, 4051, 705, 148, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
55099, 4404, 292, 176, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
55136, 4518, 86, 147, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
55172, 4373, 348, -56, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
55208, 4127, 1001, -541, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
55245, 4017, 550, -676, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
55281, 3744, 523, -521, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
55318, 3852, 384, -490, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
55355, 4009, 75, 362, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
55392, 4242, -117, 1373, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
55429, 3965, 344, 818, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
55466, 3933, 796, 413, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
55503, 4043, 1224, 105, 45, df5480f0-72af-4ce6-a1d2-513ce8cc8f68, , iktidal, iktidal_tanpa_bersedekap, , 
