114673, 3589, 2359, -884, 74, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115432, 3852, 1824, 248, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115463, 3756, 1770, 331, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115493, 3806, 2066, 1008, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115524, 3220, 2170, 2838, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115554, 4660, 4049, 314, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115585, 3437, 2788, -642, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115635, 3406, 2134, 110, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115685, 3524, 1711, -66, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115735, 3492, 1733, -122, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115785, 3616, 1469, -83, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115836, 3707, 1426, -160, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115886, 3755, 1606, -134, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115936, 3793, 1732, -80, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
115986, 3741, 1792, 26, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116036, 3703, 1837, 67, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116087, 3755, 1838, 236, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116115, 3813, 1893, 466, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116143, 3811, 1881, 544, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116171, 3839, 1749, 395, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116199, 3768, 1726, 219, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116227, 3750, 1675, 63, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116255, 3771, 1664, 17, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116283, 3711, 1642, -12, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116311, 3740, 1632, 7, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116339, 3759, 1670, 67, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116367, 3771, 1683, 121, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116396, 3798, 1707, 183, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116434, 3769, 1712, 213, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116473, 3759, 1723, 223, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116512, 3818, 1722, 165, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116551, 3754, 1710, 148, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116590, 3741, 1690, 110, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116629, 3728, 1678, 121, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116668, 3753, 1697, 111, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116707, 3759, 1711, 141, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116746, 3762, 1721, 178, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116785, 3780, 1714, 187, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116826, 3780, 1661, 156, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116868, 3780, 1690, 130, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116909, 3749, 1665, 92, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116951, 3759, 1731, 116, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
116992, 3748, 1728, 115, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
117034, 3763, 1722, 123, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
117075, 3750, 1723, 127, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
117117, 3761, 1702, 128, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
117158, 3766, 1735, 133, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
117200, 3740, 1712, 127, 75, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
117234, 3737, 1759, 123, 77, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
117269, 3785, 1719, 155, 77, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
117304, 3780, 1715, 163, 77, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
117339, 3732, 1683, 157, 77, f5bb74fd-085d-4cef-9240-9084482801f9, , iktidal, iktidal_tanpa_bersedekap, , 
