112686, 4084, -550, -400, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114463, 4139, 101, -34, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114501, 4080, 58, -168, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114540, 4138, -44, -139, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114579, 4087, -264, 21, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114618, 4120, -273, 75, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114654, 4154, -57, 12, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114690, 4141, 61, -30, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114726, 4121, 113, -81, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114762, 4151, 119, -59, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114798, 4099, 128, -66, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114834, 4151, 158, -77, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114870, 4115, 116, -52, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114906, 4099, 48, -36, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114942, 4120, 52, -80, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
114978, 4180, 111, -81, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
115014, 4056, 74, -118, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
115054, 4165, 58, -155, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
115094, 4188, 74, -225, 93, ee188ee9-e994-45c6-ab7b-049d2e1d75b1, , iktidal, iktidal_tanpa_bersedekap, , 
