104483, 3944, 1148, -12, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105634, 3959, 1130, 317, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105674, 3974, 1060, 321, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105713, 3951, 1045, 313, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105753, 3948, 1104, 236, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105793, 3952, 1286, 80, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105832, 3986, 1494, 258, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105872, 4085, 782, 468, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105912, 4092, 1106, 331, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105952, 3980, 756, 324, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
105989, 4037, 899, 298, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106026, 4012, 662, 223, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106064, 4079, 868, 323, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106101, 4073, 736, 371, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106138, 3993, 861, 500, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106176, 4095, 815, 450, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106213, 4058, 701, 407, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106251, 3992, 942, 381, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106288, 4118, 781, 255, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106325, 3828, 710, 415, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106363, 4027, 884, 507, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106400, 4061, 873, 534, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106438, 4587, 1193, -531, 100, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106475, 3989, 505, 320, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106513, 3697, 892, 345, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106550, 4193, 500, 515, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106588, 3976, 952, 354, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106625, 4118, 864, 333, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106663, 4114, 943, 366, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106700, 4075, 811, 318, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106738, 3975, 1032, 213, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106775, 4090, 497, 488, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106813, 4026, 760, 276, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106850, 4003, 840, 232, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106888, 4100, 539, 359, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106926, 4020, 1050, 190, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
106966, 4062, 880, 362, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
107006, 4049, 531, 462, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
107046, 4039, 1005, 174, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
107086, 4084, 567, 257, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
107126, 3942, 800, 115, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
107166, 3958, 742, 189, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
107206, 3940, 843, -53, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
107246, 3924, 935, -143, 101, db8a1ebb-8113-4399-87f3-37eabbadfc54, , iktidal, iktidal_tanpa_bersedekap, , 
