220766, 3274, 2471, 671, 82, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221854, 3494, 2041, 1151, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221893, 3386, 2025, 1185, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221931, 3387, 2044, 1175, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
221970, 3391, 2037, 1177, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222009, 3361, 2158, 1129, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222048, 3426, 2121, 1164, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222087, 3424, 1972, 1110, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222126, 3429, 1905, 1155, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222166, 3418, 1923, 1170, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222205, 3405, 2039, 1194, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222244, 3383, 2148, 1125, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222283, 3398, 2253, 1164, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222322, 3473, 2082, 1221, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222362, 3347, 2061, 1202, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222400, 3424, 2102, 1142, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222438, 3335, 1884, 1423, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222477, 3441, 1934, 1693, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222515, 3238, 2238, 1198, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222554, 3379, 1573, 1501, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222592, 3437, 1746, 1493, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222631, 3410, 1950, 1411, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222669, 3416, 2053, 1415, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222708, 3458, 2014, 1431, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222746, 3437, 1912, 1407, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222785, 3371, 1760, 1329, 85, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222823, 3468, 1927, 1346, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222862, 3468, 2125, 1283, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222901, 3461, 1937, 1273, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222939, 3488, 1789, 1371, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
222978, 3437, 1887, 1288, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
223017, 3383, 2046, 1207, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
223055, 3227, 1956, 1397, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
223094, 3239, 1677, 1415, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
223133, 3364, 1826, 1208, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
223172, 3528, 1964, 1184, 84, 7a49c596-e92d-49e0-80a3-18d11169a4ce, , iktidal, iktidal_tanpa_bersedekap, , 
