270523, 4160, -130, -354, 80, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271425, 3961, 1607, -426, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271466, 4096, 2101, -408, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271506, 4143, 2044, -965, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271546, 3536, 1465, -729, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271587, 3664, 1858, -914, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271627, 3857, 1520, 11, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271667, 3982, 840, 996, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271708, 3860, 827, 1429, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271745, 3726, 772, 739, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271782, 3770, 359, 632, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271820, 3756, 712, 1011, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271857, 3742, 934, 1325, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271894, 3695, 1646, 943, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271932, 3607, 1811, 1133, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
271969, 3519, 1403, 868, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272006, 3820, 1430, 1443, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272044, 3791, 1120, 1554, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272081, 3878, 1025, 1300, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272119, 3748, 756, 1151, 84, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272161, 3868, 975, 1116, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272204, 3920, 1195, 1005, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272247, 3950, 1369, 721, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272290, 3843, 1434, 618, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272333, 3984, 1350, 822, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272375, 3910, 1548, 786, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272418, 3995, 1286, 839, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272461, 3980, 1314, 801, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272504, 3840, 1306, 949, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272547, 3880, 1198, 704, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272587, 3981, 1158, 751, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272628, 3919, 1215, 808, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272668, 3938, 1070, 821, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272709, 3865, 818, 909, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272749, 3878, 746, 944, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272790, 3969, 758, 848, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272830, 3958, 887, 785, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272871, 3926, 1020, 820, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272911, 3978, 1031, 769, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272952, 3923, 1017, 845, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
272985, 3931, 1105, 778, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273019, 3961, 1094, 843, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273052, 3992, 947, 757, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273086, 3857, 1000, 872, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273119, 3957, 901, 692, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273153, 3912, 1002, 794, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273186, 4002, 1002, 782, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273220, 3973, 974, 744, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273253, 3847, 1035, 864, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273287, 3963, 990, 701, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273321, 3932, 963, 853, 85, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273359, 4021, 1051, 711, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273397, 3818, 988, 818, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273435, 3942, 828, 727, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273473, 3912, 985, 762, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273512, 3912, 869, 865, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273550, 4065, 1093, 602, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273588, 3761, 1063, 992, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273626, 4143, 942, 572, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273664, 3879, 1068, 892, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273703, 4013, 828, 583, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273739, 3850, 1038, 822, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273776, 4001, 799, 813, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273813, 3967, 1050, 684, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273850, 3899, 1077, 749, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273887, 3995, 1012, 727, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273923, 3829, 1032, 917, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273960, 4041, 910, 502, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
273997, 3778, 914, 959, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
274034, 4074, 795, 856, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
274071, 3944, 1070, 606, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
274108, 3959, 1024, 890, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
274151, 3944, 980, 720, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
274194, 3940, 957, 944, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
274238, 3980, 1062, 592, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
274281, 3923, 997, 1002, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
274325, 3931, 783, 791, 86, 8df4a31e-8177-4fed-a1d6-7d7ee6cbcd54, , iktidal, iktidal_tanpa_bersedekap, , 
