92766, 3707, 1914, 652, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93734, 3603, 1829, 1021, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93774, 3619, 1862, 1057, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93814, 3637, 1873, 1018, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93855, 3610, 1660, 983, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93895, 3572, 1874, 1059, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93935, 3544, 1820, 1012, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
93976, 3564, 1852, 1090, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94015, 3519, 1778, 1056, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94054, 3601, 1747, 1053, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94093, 3677, 1780, 1132, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94133, 3541, 1841, 1009, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94172, 3560, 1818, 1119, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94211, 3497, 1868, 1098, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94251, 3522, 1849, 1054, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94290, 3528, 1980, 1061, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94329, 3506, 1966, 1071, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94369, 3569, 1950, 1158, 91, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94409, 3734, 2108, 1137, 92, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94450, 3753, 2015, 1141, 92, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94491, 3812, 1839, 1169, 92, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94532, 3581, 1505, 1263, 92, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94573, 3349, 1395, 1153, 92, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94613, 3344, 1846, 1252, 92, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94654, 3346, 1991, 1158, 92, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
94695, 3450, 2068, 1345, 92, 56369cc0-9733-4a37-b3a6-580aea328324, , iktidal, iktidal_tanpa_bersedekap, , 
