81394, 4027, 554, -344, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82521, 4094, 578, -285, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82560, 4107, 566, -304, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82599, 4087, 582, -303, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82634, 4038, 607, -277, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82669, 4080, 624, -298, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82704, 4076, 603, -277, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82739, 4076, 593, -289, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82775, 4073, 578, -276, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82810, 4098, 575, -280, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82845, 4082, 601, -297, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82880, 4053, 563, -302, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82915, 4079, 609, -343, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82951, 4103, 606, -302, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
82991, 4047, 584, -277, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
83032, 4098, 563, -276, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
83072, 4078, 613, -299, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
83113, 4099, 663, -317, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
83154, 4090, 570, -251, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
83194, 4069, 615, -314, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
83235, 4064, 647, -330, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
83275, 4094, 641, -270, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
83316, 4061, 769, -348, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
83357, 3998, 816, -328, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
83393, 3968, 829, -307, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
83429, 4024, 812, -239, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
83466, 4043, 679, -207, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
83502, 4051, 717, -256, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
83539, 4020, 706, -292, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
83575, 4040, 618, -301, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
83612, 4127, 544, -205, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
83648, 4096, 723, -257, 100, 103552e8-cba8-4f02-a6c6-a1d7260e45b6, , iktidal, iktidal_tanpa_bersedekap, , 
