59297, 4218, -64, -501, 56, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60479, 3959, 1061, 21, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60514, 3802, 1243, -180, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60550, 3776, 942, -238, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60586, 3840, 885, -141, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60622, 4169, 571, 988, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60663, 4462, 827, 1771, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60704, 4069, 1329, 661, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60745, 3678, 1750, 11, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60786, 3550, 1742, 99, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60828, 3703, 1791, 233, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60869, 3702, 2062, 399, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60910, 3761, 1639, 391, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60951, 3567, 1852, 441, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
60992, 3763, 1670, 384, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
61034, 3749, 1759, 471, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
61068, 3855, 1778, 575, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
61103, 3719, 1696, 616, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
61138, 3622, 1785, 534, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
61173, 3739, 1559, 435, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
61208, 3956, 1865, 424, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
61243, 3878, 1402, 604, 58, c203adc9-f0a6-43fb-a9f2-7c77df55ec90, , iktidal, iktidal_tanpa_bersedekap, , 
