76924, 3433, 3658, -1502, 75, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79593, 4043, 439, -106, 71, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79632, 4063, 502, -245, 71, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79670, 4095, 522, -347, 71, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79709, 4124, 407, -417, 71, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79747, 4101, 376, -460, 71, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79786, 4094, 339, -344, 71, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79824, 4087, 386, -286, 71, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79863, 4117, 375, -305, 71, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79901, 4104, 319, -289, 71, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79940, 4080, 350, -323, 71, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
79978, 4140, 445, -261, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80017, 4092, 470, -323, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80056, 4106, 486, -329, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80095, 4096, 352, -410, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80134, 4092, 369, -351, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80173, 4073, 221, -266, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80212, 4166, 161, -272, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80251, 4062, 183, -384, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80290, 4100, 457, -326, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80329, 4136, 674, -398, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80367, 4086, 386, -412, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80406, 4042, 312, -215, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80445, 4203, -283, -53, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80484, 4200, 397, -346, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80523, 4219, 445, -110, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80562, 4147, 498, -282, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80601, 4127, 482, -370, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80640, 3989, 416, -406, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80679, 4070, 464, -293, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80718, 4040, 623, -549, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80755, 4030, 417, -405, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80793, 4103, 609, -247, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80831, 4032, 477, -86, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80869, 4046, 285, -61, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80907, 4028, 336, -416, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80944, 4141, -250, -247, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
80982, 4274, 9, -102, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81020, 4431, 221, -209, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81058, 4485, 208, 134, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81096, 4160, 396, -147, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81134, 4074, 527, -188, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81171, 4028, 577, -31, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81208, 4065, 972, -239, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81245, 4125, 491, -29, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81282, 3945, 1898, -366, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81320, 3541, 2763, -1097, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81357, 3440, 2195, -1032, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81394, 3551, 1988, -968, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81431, 3465, 1701, -1015, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81468, 3676, 1218, -728, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81506, 3887, 1015, -528, 72, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81543, 4229, 653, -445, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81580, 4302, -1013, -90, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81618, 4113, 422, -321, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81655, 4148, 1478, -640, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81692, 4017, -26, 154, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
81730, 4021, -38, 164, 74, 07a47f9b-d369-4645-8f1f-e32833a07c3a, , iktidal, iktidal_tanpa_bersedekap, , 
