521860, 3822, 674, -14, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522824, 4024, 839, 486, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522855, 4043, 870, 490, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522887, 4022, 864, 496, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522927, 4005, 863, 497, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
522968, 4009, 883, 500, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523008, 4041, 884, 501, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523049, 4021, 892, 508, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523089, 3993, 854, 480, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523130, 4024, 831, 484, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523170, 4048, 863, 501, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523211, 4041, 839, 503, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523251, 4029, 861, 499, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523292, 4026, 849, 484, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523330, 4012, 826, 475, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523369, 4030, 846, 509, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523408, 4035, 817, 496, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523447, 4017, 799, 489, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523486, 4022, 838, 490, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523524, 4021, 870, 490, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523563, 3990, 864, 506, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523602, 4015, 817, 489, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523641, 4028, 814, 491, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523680, 4040, 804, 488, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523719, 4036, 813, 520, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523755, 4025, 848, 481, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523792, 4027, 811, 469, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523829, 4038, 841, 497, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523866, 4022, 836, 485, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523903, 4025, 796, 473, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523939, 4037, 810, 485, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
523976, 4028, 793, 470, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524013, 4044, 804, 474, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524050, 4028, 866, 474, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524087, 4037, 864, 464, 81, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524132, 4082, 971, 434, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524177, 4051, 893, 501, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524222, 4023, 1078, 564, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524267, 4141, 1233, 631, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524312, 4024, 961, 655, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524357, 4079, 1307, 749, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524402, 4033, 1090, 864, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524447, 3903, 1121, 877, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524492, 3919, 1192, 808, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524537, 3936, 1400, 714, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524570, 3880, 1475, 690, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524603, 3766, 1393, 505, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524636, 3690, 1187, 544, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524669, 3794, 1144, 838, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524702, 3722, 1076, 833, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524736, 3782, 1249, 841, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524769, 3835, 1210, 892, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524802, 3882, 1014, 1180, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524835, 3848, 1065, 1333, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524868, 3787, 1007, 1097, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524902, 3767, 1026, 1023, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524941, 3791, 1247, 879, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
524980, 3816, 1414, 985, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
525019, 3793, 1318, 1116, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
525058, 3820, 1370, 1038, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
525097, 3819, 1245, 966, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
525136, 3824, 1119, 1028, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
525175, 3857, 1133, 1075, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
525214, 3864, 1116, 998, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
525253, 3844, 1262, 991, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
525292, 3872, 1111, 966, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
525329, 3889, 1219, 984, 82, ad3005f9-43cc-44a9-b9db-4fc842a3f84f, , iktidal, iktidal_tanpa_bersedekap, , 
