238479, 4037, 768, -295, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240797, 4063, 770, -361, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240840, 4033, 782, -331, 68, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240877, 4068, 762, -304, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240914, 4064, 812, -292, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240951, 4064, 798, -313, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
240988, 4051, 814, -331, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241025, 4052, 764, -314, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241062, 4038, 754, -296, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241099, 4043, 765, -301, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241136, 4051, 779, -313, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241173, 4057, 776, -281, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241210, 4050, 754, -296, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241248, 4059, 783, -303, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241286, 4034, 807, -330, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241325, 4041, 776, -347, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241363, 4039, 772, -315, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241402, 4028, 782, -328, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241441, 4044, 801, -294, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241479, 4071, 786, -257, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241518, 4054, 821, -260, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241556, 4030, 820, -272, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241595, 4047, 783, -302, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241634, 4021, 778, -287, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241674, 4045, 799, -273, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241715, 4059, 811, -270, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241756, 4052, 817, -282, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241797, 4022, 786, -276, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241838, 4030, 806, -279, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241879, 4038, 825, -283, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241920, 4038, 806, -292, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
241961, 4038, 777, -286, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242002, 4041, 758, -280, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242043, 4054, 772, -296, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242084, 4057, 778, -271, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242119, 4049, 774, -272, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242154, 4041, 776, -285, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242189, 4028, 767, -276, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242224, 4040, 776, -305, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242260, 4079, 775, -304, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242295, 4041, 764, -272, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242330, 4048, 737, -281, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242365, 4044, 797, -314, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242400, 4067, 808, -303, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242436, 4033, 853, -304, 70, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242475, 4024, 821, -283, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242515, 4030, 759, -282, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242555, 4058, 804, -304, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242595, 4036, 803, -306, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242635, 4036, 800, -291, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242674, 4056, 777, -292, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242714, 4045, 792, -318, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242754, 4065, 771, -292, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242794, 4046, 758, -296, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242834, 4050, 738, -297, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242873, 4075, 770, -295, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242913, 4047, 793, -300, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242952, 4063, 783, -329, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
242992, 4032, 747, -319, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
243032, 4066, 790, -298, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
243071, 4036, 827, -321, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
243111, 4083, 787, -292, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
243151, 4059, 778, -287, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
243190, 4085, 764, -283, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
243230, 4069, 834, -253, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
243270, 4063, 908, -330, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
243306, 4058, 886, -428, 71, 3d56acb9-aebc-470b-8ecc-7cae8952893c, , iktidal, iktidal_tanpa_bersedekap, , 
