450950, 3787, 476, -388, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451752, 4052, 800, 210, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451791, 4070, 823, 230, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451831, 4066, 810, 292, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451870, 4078, 805, 294, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451910, 4048, 823, 277, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451949, 4013, 878, 265, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
451988, 4036, 858, 262, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452028, 4019, 888, 259, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452067, 4046, 854, 251, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452107, 4031, 849, 270, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452148, 4042, 858, 275, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452189, 4061, 853, 247, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452230, 4027, 868, 243, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452271, 4011, 882, 251, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452313, 4039, 853, 255, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452354, 4034, 876, 253, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452395, 4035, 877, 266, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452436, 4039, 842, 237, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452477, 4044, 811, 254, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452519, 4053, 876, 239, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452555, 4067, 875, 218, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452591, 4043, 901, 254, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452628, 4052, 864, 259, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452664, 4038, 863, 241, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452701, 4030, 886, 242, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452737, 4025, 870, 255, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452774, 4023, 893, 270, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452810, 4041, 887, 239, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452847, 4049, 867, 248, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452883, 4039, 891, 255, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452920, 4014, 908, 260, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452958, 4025, 914, 254, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
452997, 4034, 865, 284, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453036, 4009, 892, 255, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453074, 4028, 874, 263, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453113, 4038, 866, 251, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453152, 4025, 874, 244, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453190, 4069, 833, 272, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453229, 4047, 873, 275, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453268, 4032, 899, 275, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453307, 4049, 893, 254, 74, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453344, 4046, 908, 238, 75, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453382, 4016, 888, 234, 75, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453419, 4025, 865, 259, 75, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453457, 4036, 885, 252, 75, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453494, 4022, 876, 243, 75, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453532, 4024, 898, 278, 75, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453569, 4039, 909, 262, 75, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453607, 4047, 890, 254, 75, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453644, 4038, 902, 244, 75, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453682, 4032, 877, 256, 75, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453720, 4053, 889, 264, 75, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453765, 4032, 924, 264, 75, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453810, 4028, 914, 242, 75, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453855, 4031, 1127, 237, 75, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453900, 4066, 1069, 293, 75, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453945, 4081, 1145, 430, 75, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
453990, 4079, 1125, 470, 75, 6de76e6c-6980-42fb-9e6d-cab960ee6d94, , iktidal, iktidal_tanpa_bersedekap, , 
