216001, 3887, 2425, -1290, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216488, 4422, -455, -576, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216528, 4348, -761, -351, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216568, 4158, -251, -263, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216608, 3860, 427, 0, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216648, 3832, 770, -41, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216688, 3918, 1202, -158, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216728, 4086, 1633, -277, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216768, 4143, 1516, -214, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216804, 4036, 1089, -108, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216840, 4045, 791, -88, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216876, 4109, 832, -82, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216912, 4090, 647, 27, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216948, 4029, 1006, -32, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
216984, 4053, 659, -86, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217020, 4000, 1093, -99, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217056, 4045, 948, -13, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217092, 4090, 912, 165, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217128, 4009, 1001, 279, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217165, 4004, 1116, 301, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217205, 4004, 1577, 223, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217245, 3939, 1288, 4, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217285, 3905, 1361, 60, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217326, 3850, 1449, -81, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217366, 3925, 893, 316, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217406, 3903, 1006, 403, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217447, 3899, 1325, 349, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217487, 3882, 1402, 311, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217527, 3826, 1516, 226, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217568, 3829, 1534, 194, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217608, 3804, 1574, 193, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217649, 3809, 1572, 206, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217689, 3856, 1489, 236, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217730, 3849, 1505, 210, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217771, 3884, 1497, 224, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217811, 3865, 1504, 224, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217852, 3846, 1524, 238, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217892, 3830, 1614, 214, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217933, 3875, 1870, 221, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
217974, 3889, 1712, 365, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
218010, 3835, 1962, 360, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
218046, 3881, 1998, 433, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
218082, 3936, 1753, 549, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
218118, 3881, 1587, 720, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
218154, 3663, 1787, 633, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
218190, 3591, 1607, 805, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
218226, 3510, 1812, 901, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
218262, 3445, 1563, 1055, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
218298, 3414, 1412, 1095, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
218334, 3384, 1786, 970, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
218370, 3471, 1508, 1191, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
218412, 3516, 1589, 1152, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
218454, 3535, 1528, 1154, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
218496, 3554, 1860, 1159, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
218538, 3634, 1712, 1175, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
218580, 3666, 1826, 1052, 96, 8eaa06f2-8ced-46b5-a4f6-a6fbc1be4daf, , iktidal, iktidal_tanpa_bersedekap, , 
