125940, 4134, 424, -261, 87, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127056, 4123, 113, -291, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127097, 4097, 99, -294, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127138, 4138, 111, -257, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127179, 4123, 110, -268, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127220, 4114, 102, -274, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127261, 4119, 122, -282, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127303, 4110, 103, -306, 85, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127338, 4104, 97, -318, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127373, 4140, 109, -306, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127408, 4099, 115, -316, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127443, 4123, 71, -328, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127478, 4112, 118, -295, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127513, 4109, 109, -302, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127548, 4124, 116, -319, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127583, 4125, 113, -332, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127618, 4110, 94, -331, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127653, 4127, 140, -327, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127688, 4134, 142, -313, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127728, 4119, 166, -298, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127768, 4107, 166, -284, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127809, 4147, 114, -273, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127849, 4123, 126, -262, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127890, 4121, 139, -267, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127930, 4122, 159, -266, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
127970, 4131, 178, -272, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128011, 4094, 142, -290, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128051, 4127, 145, -282, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128092, 4123, 160, -288, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128131, 4136, 182, -265, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128170, 4138, 191, -238, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128210, 4126, 162, -261, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128249, 4121, 159, -303, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128288, 4118, 151, -300, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128328, 4123, 181, -234, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128367, 4131, 153, -263, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128406, 4137, 160, -241, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128446, 4124, 165, -223, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128485, 4134, 190, -155, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128525, 4111, -32, 294, 84, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128561, 4135, 144, 230, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128597, 4085, 367, -242, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128633, 4039, 117, -413, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128670, 4103, 86, -373, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128706, 4116, 46, -185, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128742, 4195, 90, -133, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128779, 4163, -77, -51, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128815, 4281, -348, 104, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128851, 4335, -459, 448, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128888, 4103, -277, 138, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128934, 4248, -423, 756, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
128981, 4339, -337, 647, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129028, 4463, -475, 677, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129074, 4597, -526, 1358, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129121, 4855, 469, 890, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129168, 4283, 896, 418, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129214, 4208, 1393, 15, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129261, 4027, 1583, -77, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129308, 3883, 1224, 112, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129355, 4014, 935, 296, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129385, 3913, 1031, 272, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129415, 3794, 1102, 87, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129445, 3753, 1234, 90, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129475, 3657, 1129, -214, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129505, 3715, 1418, 159, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129535, 3718, 990, 415, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129565, 3948, 628, 434, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129595, 3756, 840, 537, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129625, 3858, 667, 789, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129655, 4233, 1304, 2262, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129685, 4484, 1829, 2397, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129725, 3599, 2504, 373, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129765, 3556, 1876, 36, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129806, 3732, 1501, 57, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129846, 3779, 1571, 367, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129887, 3719, 1381, 639, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129927, 3866, 1268, 946, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
129967, 3830, 1384, 789, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130008, 3794, 1691, 675, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130048, 3744, 1551, 673, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130089, 3715, 1504, 754, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130128, 3745, 1519, 714, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130167, 3811, 1508, 704, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130207, 3817, 1489, 714, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130246, 3775, 1565, 694, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130286, 3787, 1550, 723, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130325, 3774, 1523, 691, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130365, 3795, 1475, 700, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130404, 3781, 1463, 667, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130444, 3818, 1498, 632, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130483, 3839, 1485, 694, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130523, 3801, 1495, 656, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130559, 3814, 1474, 637, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130595, 3804, 1444, 630, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130631, 3811, 1442, 631, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130667, 3798, 1469, 588, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130703, 3822, 1470, 604, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130739, 3831, 1427, 576, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
130775, 3885, 1427, 584, 83, babf9f27-c7cc-4ca8-9bfd-373f36167423, , iktidal, iktidal_tanpa_bersedekap, , 
