336414, 4192, -370, -346, 84, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337726, 4085, 508, -284, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337763, 4084, 547, -296, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337799, 4062, 546, -334, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337836, 4094, 514, -334, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337872, 4060, 501, -306, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337909, 4075, 458, -317, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337945, 4081, 525, -355, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
337982, 4080, 686, -360, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338019, 4099, 557, -268, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338058, 4089, 480, -283, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338098, 4093, 441, -224, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338137, 4098, 457, -247, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338177, 4107, 555, -283, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338216, 4107, 489, -237, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338256, 4078, 520, -284, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338295, 4039, 825, -442, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338335, 4163, 548, -161, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338374, 4080, 448, -184, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338414, 4108, 510, -226, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338454, 4070, 405, -179, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338494, 4087, 564, -235, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338534, 4082, 610, -244, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338574, 4070, 579, -243, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338614, 4057, 585, -251, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338654, 4065, 609, -233, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338694, 4077, 575, -237, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338734, 4091, 539, -220, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338774, 4090, 565, -223, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338815, 4065, 552, -235, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338854, 4078, 554, -263, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338893, 4108, 602, -250, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338933, 4102, 585, -224, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
338972, 4060, 588, -222, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339012, 4126, 594, -205, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339051, 4087, 645, -246, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339091, 4174, 803, -154, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339130, 4061, 690, -188, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339170, 4070, 619, -217, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339209, 4056, 491, -205, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339249, 4086, 504, -115, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339285, 4125, 580, -102, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339322, 4138, 652, -107, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339359, 4141, 702, -24, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339396, 4156, 882, -183, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339433, 4084, 718, -190, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339470, 4059, 927, -111, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339507, 4099, 721, -144, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339544, 4032, 731, -240, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339581, 4055, 944, -275, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339618, 4068, 935, -283, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339654, 3978, 720, -247, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339690, 3995, 680, -153, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339727, 4017, 681, -155, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
339763, 4101, 894, -244, 83, 87e6ea7f-41f4-4143-862c-57c46edf0e86, , iktidal, iktidal_tanpa_bersedekap, , 
