122321, 4031, 975, 525, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123175, 4042, 963, 552, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123212, 4010, 971, 531, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123249, 4019, 942, 548, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123288, 3996, 928, 559, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123327, 4016, 968, 544, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123366, 3980, 966, 544, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123405, 3966, 975, 540, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123444, 3988, 944, 540, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123483, 3997, 964, 567, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123522, 3976, 981, 559, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123561, 3998, 964, 547, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123600, 3984, 983, 569, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123640, 4005, 977, 579, 70, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123676, 3969, 955, 551, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123713, 3972, 978, 573, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123749, 3985, 951, 546, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123786, 4006, 983, 567, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123823, 4000, 965, 548, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123859, 3980, 959, 583, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123896, 3984, 946, 576, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123933, 3961, 898, 551, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
123969, 3987, 953, 546, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
124006, 4016, 976, 535, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
124043, 3995, 941, 564, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
124083, 4002, 907, 563, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
124123, 3982, 940, 545, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
124164, 4012, 935, 519, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
124204, 4000, 960, 548, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
124245, 4001, 989, 552, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
124285, 3998, 982, 520, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
124325, 3981, 946, 491, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
124366, 3990, 982, 499, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
124406, 3975, 887, 474, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
124447, 3975, 925, 554, 71, a8347071-a1c4-49c3-9fef-a6102935a0c6, , iktidal, iktidal_tanpa_bersedekap, , 
