166101, 4102, 500, 206, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167516, 3912, 1388, 237, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167554, 3899, 1523, 170, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167592, 3895, 1435, 193, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167629, 3875, 1393, 206, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167667, 3870, 1318, 292, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167705, 3908, 1378, 270, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167743, 3937, 1367, 369, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167780, 3907, 1468, 375, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167818, 3906, 1437, 356, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167856, 3886, 1544, 254, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167894, 3950, 1395, 184, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167932, 3829, 1534, 226, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
167971, 3881, 1230, 358, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
168010, 3802, 1673, 261, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
168050, 3889, 1509, 350, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
168089, 3877, 1330, 274, 89, 248ad5e8-751a-4f41-b427-d9fd820902f9, , iktidal, iktidal_tanpa_bersedekap, , 
