242151, 3312, 2035, -1608, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243318, 3192, 2000, -1664, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243355, 3195, 2002, -1645, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243391, 3202, 1958, -1683, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243427, 3189, 1963, -1692, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243463, 3176, 1972, -1681, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243500, 3199, 1981, -1656, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243536, 3213, 1922, -1668, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243572, 3173, 1953, -1656, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243609, 3214, 1947, -1666, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243651, 3200, 1969, -1690, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243693, 3176, 1998, -1681, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243735, 3209, 2002, -1678, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243777, 3178, 1996, -1698, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243820, 3126, 1975, -1722, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243862, 3173, 1968, -1686, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243904, 3203, 1964, -1663, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243946, 3193, 1974, -1696, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
243988, 3212, 1944, -1682, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
244031, 3204, 1934, -1702, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
244072, 3165, 1972, -1727, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
244114, 3155, 2029, -1684, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
244156, 3166, 1997, -1682, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
244197, 3163, 1956, -1684, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
244239, 3151, 1874, -1727, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
244281, 3147, 1856, -1721, 103, 913573a6-c57c-4839-805c-f2c13b77da73, , iktidal, iktidal_tanpa_bersedekap, , 
