155761, 3669, 2899, -1233, 107, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157796, 4012, 475, -841, 94, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157831, 4011, 475, -838, 94, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157866, 4024, 499, -806, 94, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157901, 4014, 479, -810, 94, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157941, 4013, 504, -813, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
157981, 4000, 508, -844, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158022, 3998, 487, -897, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158062, 4015, 453, -865, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158102, 3981, 488, -905, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158143, 4006, 511, -861, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158183, 4011, 534, -878, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158223, 4003, 498, -858, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158264, 4007, 471, -872, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158304, 4009, 483, -872, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158345, 3999, 488, -902, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158382, 4010, 486, -881, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158419, 4008, 490, -853, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158456, 3996, 499, -870, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158493, 3987, 471, -888, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158531, 4017, 501, -886, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158568, 4011, 497, -913, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158605, 4006, 497, -866, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158642, 4003, 451, -848, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158679, 4006, 448, -846, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158717, 4013, 474, -822, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158758, 4013, 493, -840, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158800, 4024, 478, -842, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158842, 4006, 481, -832, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158883, 4022, 499, -842, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158925, 4020, 469, -828, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
158967, 4021, 469, -814, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159008, 4013, 434, -813, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159050, 4002, 405, -776, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159092, 4137, 121, -635, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159134, 4230, -197, -565, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159167, 3841, 750, -1482, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159201, 3939, 416, -1241, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159234, 3921, 475, -898, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159268, 3998, 602, -649, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159302, 3955, 673, -472, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159335, 3951, 400, -207, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159369, 4342, 18, 100, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159403, 4356, 348, -260, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159436, 4083, 312, -507, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159470, 4112, 6, -260, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159504, 4257, -185, 88, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159546, 4331, -41, 251, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159588, 4475, 760, 7, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159630, 4529, 949, -126, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159672, 4183, 1398, -373, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159715, 4276, 723, 301, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159757, 4248, 1112, -318, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159799, 4288, 821, -243, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159841, 4087, 575, -282, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159883, 3851, 555, -406, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159926, 3830, 728, -606, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159961, 3744, 1014, -686, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
159997, 3807, 1157, -358, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
160032, 3868, 1106, -146, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
160068, 3852, 734, -131, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
160103, 4100, 73, 8, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
160139, 5265, -2482, 1906, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
160174, 4286, -791, 819, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
160210, 3548, 1128, -90, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
160245, 3527, 1631, -193, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
160281, 3782, 1497, -62, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
160317, 3791, 1557, 222, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
160363, 3726, 1506, 72, 93, 8054a21a-eb18-4f44-a03d-e60641bac051, , iktidal, iktidal_tanpa_bersedekap, , 
