213307, 4157, 474, -441, 78, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215188, 4069, 571, -389, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215226, 4093, 587, -381, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215263, 4082, 570, -351, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215301, 4069, 555, -344, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215340, 4074, 563, -349, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215379, 4074, 548, -310, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215418, 4063, 558, -344, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215457, 4075, 553, -344, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215497, 4081, 578, -330, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215536, 4085, 563, -350, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215575, 4072, 570, -340, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215614, 4071, 571, -339, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215653, 4076, 553, -345, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215693, 4091, 537, -337, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215728, 4098, 538, -342, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
215764, 4085, 560, -308, 76, 6be7ccc1-1a7a-427e-94bd-164c20dc0085, , iktidal, iktidal_tanpa_bersedekap, , 
