88306, 4228, -121, -398, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88872, 4060, 1162, 643, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88911, 4007, 787, 640, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88949, 3892, 1305, 425, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
88988, 3896, 1281, 514, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89026, 3910, 1492, 470, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89065, 3841, 1434, 505, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89103, 3818, 1353, 464, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89141, 3802, 1176, 465, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89180, 3763, 1273, 450, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89218, 3815, 1192, 429, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89257, 3856, 1275, 623, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89295, 3824, 1399, 597, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89333, 3946, 1432, 634, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89372, 3921, 1539, 764, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89410, 3808, 1844, 942, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89449, 3839, 1636, 1006, 68, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89486, 3785, 1577, 761, 69, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89523, 3787, 1771, 636, 69, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89560, 3641, 1512, 598, 69, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89597, 3635, 1589, 660, 69, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89634, 3671, 1573, 912, 69, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89671, 3747, 1670, 996, 69, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89708, 3745, 1680, 945, 69, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89745, 3789, 1337, 841, 69, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89782, 3690, 1414, 982, 69, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89819, 3690, 1091, 982, 69, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89856, 3769, 1321, 1123, 69, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89896, 3756, 1310, 926, 69, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89937, 3840, 1622, 938, 69, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
89978, 3879, 1623, 961, 69, d050ee47-a442-4d92-ab78-e8182aa50490, , iktidal, iktidal_tanpa_bersedekap, , 
