53584, 4078, 76, -313, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54127, 4115, 204, -423, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54169, 4106, 237, -412, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54211, 4113, 255, -380, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54253, 4096, 289, -441, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54295, 4120, 211, -458, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54337, 4104, 178, -398, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54379, 4120, 208, -433, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54421, 4125, 210, -458, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54463, 4100, 224, -416, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54505, 4101, 183, -385, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54548, 4060, 222, -396, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54583, 4085, 209, -394, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54619, 4118, 220, -424, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54655, 4144, 176, -414, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54691, 4125, 143, -375, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54727, 4101, 135, -381, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54762, 4114, 197, -386, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54798, 4118, 184, -412, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54834, 4114, 233, -439, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54870, 4085, 271, -441, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54906, 4104, 221, -415, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54942, 4101, 251, -432, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
54988, 4113, 230, -395, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55035, 4115, 244, -421, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55082, 4089, 241, -409, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55129, 4100, 266, -420, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55176, 4140, 239, -425, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55223, 4073, 247, -381, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55270, 4112, 246, -408, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55317, 4100, 256, -407, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55364, 4103, 250, -420, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55411, 4107, 233, -413, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55443, 4098, 211, -404, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55475, 4102, 226, -394, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55507, 4130, 217, -414, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55539, 4099, 240, -411, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55571, 4114, 216, -401, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55603, 4104, 201, -414, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55635, 4106, 232, -402, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55667, 4117, 254, -399, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55699, 4088, 249, -411, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55732, 4090, 221, -410, 101, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55769, 4114, 255, -418, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55806, 4166, 230, -434, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55844, 4113, 212, -440, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55881, 4099, 240, -414, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55918, 4098, 229, -424, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55956, 4106, 274, -440, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
55993, 4116, 249, -428, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56030, 4105, 236, -430, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56068, 4105, 252, -420, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56105, 4107, 268, -436, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56143, 4114, 276, -420, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56189, 4102, 278, -416, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56235, 4080, 255, -421, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56281, 4143, 248, -398, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56327, 4093, 264, -403, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56374, 4090, 278, -398, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56420, 4102, 272, -422, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56466, 4087, 259, -426, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56512, 4131, 260, -433, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56558, 4077, 249, -381, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56605, 4120, 225, -423, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56634, 4089, 285, -438, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56664, 4115, 272, -443, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56694, 4078, 313, -412, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
56723, 4085, 313, -415, 100, 4e6c4303-f491-4197-9cc5-c28bdc90d49d, , iktidal, iktidal_tanpa_bersedekap, , 
