45640, 4378, 3016, -987, 67, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46667, 4122, 152, 173, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46704, 4136, 224, 125, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46741, 4153, 48, 131, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46778, 4152, 118, 87, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46815, 4103, 48, 82, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46852, 4148, 99, 68, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46889, 4168, 132, 133, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46936, 4097, 125, 77, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
46984, 4146, 125, 64, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47031, 4147, 77, 121, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47079, 4086, 122, 85, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47127, 4158, 49, 128, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47174, 4142, 110, 110, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47222, 4140, 228, 46, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47269, 4117, 449, -133, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47317, 4182, 653, 41, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47365, 4230, 456, 267, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47395, 4219, 392, 363, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47426, 4156, 630, 6, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47457, 4136, 628, 47, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47487, 4084, 651, 53, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47518, 4321, 550, 118, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47549, 4241, 1023, 12, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47580, 4032, 675, -73, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47610, 4070, 186, 134, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47641, 3913, 605, 369, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47672, 4084, 1196, 305, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47703, 4011, 831, 344, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47741, 3961, 858, 360, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47780, 3932, 661, 528, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47818, 3928, 661, 719, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47857, 4074, 336, 1008, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47896, 4020, 847, 1024, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47934, 3959, 1160, 813, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
47973, 3956, 1041, 692, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
48011, 3867, 1072, 542, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
48050, 3918, 1020, 484, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
48089, 3893, 897, 555, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
48130, 3952, 869, 454, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
48172, 4035, 1093, 531, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
48214, 3995, 912, 638, 66, 80fadb25-a3f6-45e8-9a11-48b7256799e6, , iktidal, iktidal_tanpa_bersedekap, , 
