111548, 3971, 1066, -218, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113957, 3962, 1095, -270, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
113991, 3981, 1092, -298, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114025, 3990, 1072, -300, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114062, 3982, 1079, -274, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114100, 3983, 1074, -283, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114138, 3975, 1091, -284, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114176, 3966, 1106, -314, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114214, 4005, 1076, -305, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114251, 3932, 1061, -295, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114289, 3954, 1026, -278, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114327, 3987, 1087, -287, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114365, 3969, 1124, -295, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114403, 3974, 1142, -301, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114441, 3991, 1105, -294, 95, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114478, 3972, 1085, -289, 94, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114516, 3949, 1116, -258, 94, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114554, 3982, 1082, -290, 94, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114592, 3991, 1054, -288, 94, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114630, 3970, 1088, -285, 94, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114667, 3968, 1098, -291, 94, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114705, 3971, 1094, -267, 94, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114743, 3971, 1096, -262, 94, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114781, 4001, 1090, -286, 94, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114819, 3961, 1108, -304, 94, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114867, 3942, 1100, -270, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114915, 4012, 1117, -225, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
114963, 3974, 1086, -169, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115012, 3969, 1117, -262, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115060, 3976, 1113, -351, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115108, 3967, 1040, -328, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115157, 3971, 1111, -329, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115205, 3924, 1090, -318, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115253, 3990, 1092, -271, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115302, 3956, 1123, -229, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115331, 3969, 1077, -258, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115360, 3998, 1237, -358, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115389, 3925, 1396, -389, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115418, 3942, 1115, -275, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115447, 3956, 1053, -202, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115476, 4005, 1162, -178, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115505, 3970, 1200, -206, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115534, 3980, 1184, -207, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115563, 3937, 1251, -197, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115592, 3882, 1303, -208, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115621, 3949, 1191, -180, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115660, 3914, 1485, -371, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115700, 3917, 1180, -214, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115740, 3960, 1329, -248, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115780, 4040, 1238, -136, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115820, 3935, 1303, -166, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115859, 3868, 1413, -196, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115899, 3950, 1442, -385, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115939, 3883, 1355, -275, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
115979, 3883, 1121, -195, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116019, 3943, 1184, -89, 91, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116059, 3992, 1281, -162, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116100, 3897, 1187, -51, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116141, 3930, 1166, -4, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116182, 3922, 1219, -141, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116223, 3934, 1335, -18, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116264, 3881, 1352, -8, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116305, 3910, 1475, -29, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116346, 3945, 1285, -26, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116387, 3941, 1266, -48, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116428, 3879, 1195, 7, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116469, 4017, 1208, -6, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116503, 3898, 1189, -4, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116538, 3944, 1278, -30, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116572, 3914, 1282, -80, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116607, 3944, 1318, -121, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116642, 3952, 1281, -60, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116676, 3922, 1213, 50, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116711, 3905, 1277, 55, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116745, 3968, 1288, -35, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116780, 3933, 1254, -77, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116815, 3887, 1341, -96, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
116857, 3925, 1394, 12, 90, 7ed3492c-cf5f-437c-a531-af212a056976, , iktidal, iktidal_tanpa_bersedekap, , 
